DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,CLASE,ESC,MES,DPTO,fex_c_2011
5350945,1,5,1,10,4,1,11,2019,1,5,6,,,2,,1,4,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,41,1246.5307898
5350947,1,1,1,10,1,2,3,1952,68,1,6,,4,3,,3,,,,,1,1,1,,,,,,,,,1,1,,,3,,,2,2,2,,1,0,,,2,0,01,41,1003.7242291
5350947,1,2,1,10,1,1,6,2016,4,4,6,,,2,,3,,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,41,1003.7242291
5350948,1,1,1,10,2,1,1,1955,66,1,6,,3,2,,3,,1,2,,,,,,,,,,,1,,1,1,,,3,,,1,1,2,,3,2,,,2,2,01,41,1375.4503164
5350948,1,2,1,10,2,2,6,1957,63,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,1,,,2,1,01,41,1375.4503164
5350948,1,3,1,10,2,1,5,1988,32,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,41,1375.4503164
5350948,1,4,1,10,4,2,1,2002,19,4,6,,2,3,,2,,1,5,,,1,,,,,1,,,,,,1,,,3,,,2,1,2,,4,9,,,2,9,01,41,1375.4503164
5350948,1,5,1,10,4,1,11,1999,21,9,6,,2,2,,2,,1,4,,1,1,1,,,,,,,,,,1,,,3,,,2,1,2,,4,7,,,2,7,01,41,1375.4503164
5350948,1,6,1,10,4,2,8,2020,0,4,6,,,1,5,1,4,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,41,1375.4503164
5352479,1,1,1,10,1,2,5,1986,34,1,6,,4,3,,3,,,,,,1,,1,,1,,1,,,,1,1,,,3,,,2,1,2,,3,3,,,2,3,01,15,831.35450656
5352479,1,2,1,10,2,2,5,2003,17,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,8,,,2,8,01,15,831.35450656
5352479,1,3,1,10,3,2,5,2009,11,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,6,,,2,6,01,15,831.35450656
