DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
5332820,1,1,1,50,63,1,,,1,4,,2,2,2,2,2,,,,,,,,01,63,123.8213965
5332820,1,2,1,50,63,1,,,2,6,JUGAR FUTBOL,2,2,2,2,2,,,,,,,,01,63,123.8213965
5332820,1,3,1,50,63,1,,,3,3,,1,,,,,,,,,,,,01,63,123.8213965
5332821,1,1,1,50,63,1,,,1,1,,,,,,,,,,,,,,01,63,166.36386807
5332836,1,1,1,50,54,1,,,1,4,,1,,,,,,,,,,,,01,54,289.97538681
5332842,1,1,1,50,54,1,,,1,4,,2,2,2,2,2,,,,,,,,01,54,343.56265745
5332842,1,2,1,50,54,1,,,2,4,,2,2,2,2,1,11,,,,,,,01,54,343.56265745
5332843,1,1,1,50,54,1,1,,1,4,,2,2,2,1,,,,,,,,1,01,54,419.96569042
5332843,1,2,1,50,54,1,,,2,4,,2,2,2,2,2,,,,,,,,01,54,419.96569042
5332846,1,1,1,50,76,1,,,1,4,,2,2,2,2,1,1,,,,,,1,01,76,919.74557592
5332846,1,2,1,50,76,1,,,2,1,,,,,,,,,,,,,,01,76,919.74557592
5332847,1,1,1,50,76,1,,,1,6,DESCANSAR,2,2,2,2,2,,,,,,,,01,76,932.22191901
5332848,1,1,1,50,76,1,,,1,1,,,,,,,,,,,,,,01,76,946.79045531
5332848,1,2,1,50,76,1,,,1,3,,2,2,2,2,2,,,,,,,,01,76,946.79045531
5332848,1,3,1,50,76,1,,,3,4,,1,,,,,,,,,,,,01,76,946.79045531
5332849,1,1,1,50,76,1,,,1,6,DESCANSAR,2,2,2,2,2,,,,,,,,01,76,809.30288586
5332849,1,2,1,50,76,1,,,2,4,,2,2,2,2,2,,,,,,,,01,76,809.30288586
