DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,RAMA4D_D_R4,MES,DPTO,fex_c_2011
5333555,1,1,1,70,76,78,84,1,,2,10,1,,2,2,7,,,,,,,,,,,1,1,70000,1200000,2,,41,95,95,1,2,4111,01,76,1058.2732645
5333555,1,2,1,70,76,42,60,4,,2,4,4,,9,2,6,,,,,,,,,,,1,1,92000,700000,2,,94,17,19,1,2,9499,01,76,1058.2732645
5333569,1,4,1,70,17,52,48,1,,2,52,1,,3,2,1,,,,,,,,,,,1,2,,877802,2,,47,38,45,1,2,4771,01,17,164.80387286
5333570,1,3,1,70,17,4,48,1,,2,4,1,,9,2,1,,,1,,,,,,,,,2,,877802,2,,82,38,38,1,1,8220,01,17,165.1641226
5333571,1,6,1,70,17,6,48,1,,2,6,4,,1,2,1,,,,,,,,,,,1,2,,877802,2,,41,95,95,1,1,4111,01,17,138.94318048
5333572,1,1,1,70,17,3,48,1,,2,3,1,,3,2,4,,,,,,,,,,,1,2,,877802,2,,45,84,84,1,1,4520,01,17,223.68780568
5333581,1,1,1,70,17,36,48,1,,2,36,1,,1,2,2,,,,,,,,,,,1,2,,877802,2,,81,55,55,1,2,8121,01,17,168.19083959
5333584,1,2,1,70,17,32,48,1,,2,32,1,,9,2,9,ES CONTRIBUTIVO,,1,,,,,,,,,2,,1500000,1,1,85,05,05,1,2,8544,01,17,172.23008029
5333606,1,4,1,70,73,1,50,1,,2,3,1,,3,2,1,,,,,,,,,,,1,1,700000,900000,2,,41,95,95,1,1,4111,01,73,341.82869234
5333607,1,1,1,70,73,8,50,4,,2,8,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,88,54,54,1,1,8890,01,73,634.88457983
5333607,1,6,1,70,73,5,48,1,,2,150,3,,1,2,1,,,,,,,,,,,1,2,,900000,2,,97,53,59,1,1,9700,01,73,634.88457983
5333608,1,1,1,70,73,16,48,1,,2,2,4,,1,2,7,,,,,,,,,,,1,1,1200000,1200000,2,,15,80,80,1,2,1521,01,73,379.93416629
5333608,1,2,1,70,73,1,48,1,,2,3,1,,4,2,4,,,,,,,,,,,1,1,275000,1300000,2,,55,39,54,1,1,5511,01,73,379.93416629
5333608,1,3,1,70,73,6,44,1,,2,6,1,,2,2,4,,,,,,,,,,,1,2,,887000,2,,86,59,59,1,1,8622,01,73,379.93416629
5333608,1,4,1,70,73,2,48,1,,2,3,1,,3,2,4,,,,,,,,,,,1,1,400000,1000000,2,,41,95,95,1,1,4111,01,73,379.93416629
5333610,1,1,1,70,73,28,48,1,,2,500,1,,2,2,1,,,,,,,,,,,1,2,,887000,2,,61,45,38,1,2,6190,01,73,340.5005453
5333611,1,1,1,70,73,2,48,4,,2,3,4,,9,2,3,,,,,,,,,,,1,1,1400000,1800000,2,,84,93,93,1,1,8413,01,73,362.55191877
5333613,1,1,1,70,73,5,40,4,,2,25,4,,9,2,8,,,,,,,,,,,1,2,,2000000,2,,85,79,18,1,1,8544,01,73,199.43773446
5333613,1,3,1,70,73,52,48,2,,2,52,4,,9,2,1,,,,,,,,,,,1,2,,1800000,2,,84,13,13,1,2,8412,01,73,199.43773446
5333618,1,1,1,70,73,1,40,1,,2,3,1,,9,2,1,,,1,,,,,,,,,1,1700000,4000000,1,1,85,13,13,1,1,8544,01,73,237.39588131
5333623,1,2,1,70,54,99,48,1,,2,99,1,,9,2,1,,,,,,,,,,,1,2,,1500000,2,,35,39,39,1,2,3511,01,54,272.98292953
5333627,1,2,1,70,76,2,48,1,,2,2,1,,4,2,1,,,,,,,,,,,1,1,221000,907256,2,,27,97,94,1,1,2740,01,76,1125.7195907
5333628,1,1,1,70,76,52,48,1,,2,3,1,,2,2,1,,,,,,,,,,,1,1,120000,907256,2,,43,95,90,1,2,4390,01,76,1071.5628672
5333634,1,3,1,70,76,3,48,1,,2,3,1,,3,2,4,,,,,,,,,,,1,1,300000,1000000,2,,41,95,95,1,1,4111,01,76,1084.0273694
5333639,1,1,1,70,76,3,60,4,,2,3,4,,2,2,1,,,,,,,,,,,1,1,300000,720000,2,,15,80,80,1,1,1521,01,76,932.22191901
5333645,1,2,1,70,76,2,48,1,,2,38,4,,1,2,8,,,,,,,,,,,1,2,,908526,2,,47,45,45,1,1,4772,01,76,809.30288586
5333646,1,2,1,70,76,2,60,1,,2,4,4,,4,2,1,,,,,,,,,,,1,1,320000,600000,2,,14,79,79,1,1,1410,01,76,1579.0496286
5333646,1,5,1,70,76,2,60,1,,2,4,4,,4,2,4,,,,,,,,,,,1,1,450000,900000,2,,14,79,79,1,1,1410,01,76,1579.0496286
5333646,1,7,1,70,76,14,60,1,,2,2,4,,3,2,1,,,,,,,,,,,1,1,200000,500000,2,,14,79,79,1,2,1410,01,76,1579.0496286
5333650,1,1,1,70,76,32,30,4,,2,50,1,,3,2,4,,,,,,,,,,,1,2,,950000,2,,73,13,45,1,2,7310,01,76,1112.2804744
5333685,1,3,1,70,68,63,40,1,,2,52,4,,2,2,1,,,,,,,,,,,1,2,,1000000,2,,56,33,97,1,2,5619,01,68,724.99154834
5333685,1,4,1,70,68,8,40,1,,2,4,1,,3,2,7,,,,,,,,,,,1,2,,1000000,2,,14,79,79,1,1,1410,01,68,724.99154834
5333689,1,4,1,70,68,4,40,1,,2,4,4,,1,2,2,,,,,,,,,,,1,2,,900000,2,,81,97,55,1,1,8129,01,68,829.6427677
5333689,2,2,2,70,68,4,48,1,,2,4,1,,6,2,7,,,,,,,,,,,1,1,635000,877000,2,,01,38,03,1,1,0144,01,68,829.6427677
5333692,1,3,1,70,68,24,24,1,,1,,,,,,,,.,,,,,,,,.,,,,1000000,,,,45,,1,2,.,01,68,642.41422827
5333703,1,1,1,70,17,28,48,1,,2,28,1,,9,2,3,,,,,,,,,,,1,2,,877802,2,,56,50,50,1,2,5619,01,17,211.47256176
5333707,1,2,1,70,76,3,40,4,,2,3,4,,8,2,2,,,,,,,,,,,1,1,1000000,1500000,2,,86,07,07,1,1,8692,01,76,919.74557592
5333713,1,1,1,70,68,4,48,1,,2,52,1,,6,2,1,,,,,,,,,,,1,2,,878000,2,,15,80,80,1,1,1522,01,68,612.56144108
5333714,1,2,1,70,68,4,48,2,,2,4,1,,9,2,1,,,1,,,,,,,,,1,99,1200000,1,1,78,21,30,1,1,7810,01,68,612.56144108
5333731,1,2,1,70,50,3,48,1,,2,4,1,,9,2,2,,,,,,,,,,,1,1,430000,950000,2,,46,45,98,1,1,4631,01,50,262.65591445
5333732,1,2,1,70,50,20,50,1,,2,20,1,,5,2,2,,,,,,,,,,,1,2,,1200000,2,,47,34,34,1,2,4752,01,50,313.33710354
5333733,1,3,1,70,50,30,48,1,,2,50,1,,4,2,3,,,,,,,,,,,1,2,,1500000,2,,13,16,92,1,2,1313,01,50,329.07178664
5333733,1,5,1,70,50,38,48,1,,2,54,1,,4,2,4,,,,,,,,,,,1,2,,1200000,2,,47,16,45,1,2,4771,01,50,329.07178664
5333740,1,2,1,70,23,48,48,1,,2,48,2,,9,2,1,,,,,,,,,,,1,2,,877803,2,,84,58,58,1,2,8422,01,23,193.4013158
5333750,1,2,1,70,17,12,48,1,,2,52,1,,6,2,1,,,,,,,,,,,1,2,,877802,2,,47,55,59,1,1,4741,01,17,238.48336754
5333752,1,2,1,70,23,52,48,1,,2,157,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,47,45,45,1,2,4719,01,23,188.5541281
5333756,1,1,1,70,68,42,48,1,,2,42,1,,1,2,1,,,,,,,,,,,1,2,,877803,2,,47,58,58,1,2,4711,01,68,302.78260878
5333762,1,1,1,70,68,16,48,1,,2,16,1,,6,2,1,,,,,,,,,,,1,2,,900000,2,,41,95,95,1,2,4111,01,68,319.45479871
5333769,1,2,1,70,50,8,48,1,,2,52,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,47,45,45,1,1,4773,01,50,318.82912445
5333774,1,3,1,70,52,3,40,1,,2,3,1,,3,2,7,,,,,,,,,,,1,1,1000000,1000000,2,,41,95,95,1,1,4111,01,52,204.1367589
5333775,1,1,1,70,52,104,40,1,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,800000,3,,43,95,85,1,2,4321,01,52,171.45091352
5333776,1,3,1,70,52,6,48,1,,2,17,3,,1,2,8,,,,,,,,,,,1,2,,900000,2,,97,45,54,1,1,9700,01,52,125.5300123
5333799,1,2,1,70,23,12,48,1,,2,36,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,85,55,55,1,1,8544,01,23,167.68547022
5333800,1,2,1,70,23,2,45,1,,2,2,1,,9,2,1,,,,,,,,,,,1,1,1150000,1000000,2,,41,95,95,1,1,4112,01,23,167.68547022
5333807,1,2,1,70,68,16,48,1,,2,16,1,,6,2,1,,,,,,,,,,,1,2,,877803,2,,46,45,45,1,2,4631,01,68,521.97329506
