DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,P7481,CLASE,MES,DPTO,fex_c_2011
5350939,1,2,1,90,1,6,1,20,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,1195.5587171
5350940,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,931.66579506
5350940,1,2,1,90,2,,1,20,2,,1,5,1,20,2,,2,,2,,2,,2,,,2,01,41,931.66579506
5350940,1,3,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,931.66579506
5350940,1,4,1,90,2,,1,10,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,931.66579506
5350943,1,1,1,90,2,,1,2,2,,1,10,2,,2,,2,,2,,2,,2,,,2,01,41,1861.5445832
5350943,1,2,1,90,2,,1,20,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,1861.5445832
5350943,1,3,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1861.5445832
5350944,1,1,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,922.5841291
5350944,1,2,1,90,1,10,1,20,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,922.5841291
5350945,1,1,1,90,2,,1,10,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,1246.5307898
5350945,1,4,1,90,2,,1,20,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,1246.5307898
5350947,1,1,1,90,1,7,1,20,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,1003.7242291
5350948,1,1,1,90,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1375.4503164
5350948,1,2,1,90,1,2,1,15,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1375.4503164
5350948,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,41,1375.4503164
5350948,1,4,1,90,2,,1,30,2,,1,20,2,,2,,2,,2,,2,,2,,,2,01,41,1375.4503164
5350948,1,5,1,90,2,,1,3,2,,1,10,2,,2,,2,,2,,2,,2,,,2,01,41,1375.4503164
5352479,1,1,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352479,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352479,1,3,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352480,1,1,1,90,1,5,1,16,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
