DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5353649,1,1,1,80,2,1,3,,2,,,1,,2,,2,,1,48,850000,2,1,01,3,70,1407.4885523
5353649,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1407.4885523
5353649,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1407.4885523
5353651,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1836.1920846
5353651,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1836.1920846
5353652,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,906.87270569
5353652,1,7,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,906.87270569
5353652,1,8,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,906.87270569
5353654,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,2385.2699234
5353655,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1811.4162357
5353657,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,01,4,70,906.87270569
5353657,1,2,1,80,2,1,3,,2,,,9,,2,,1,500000,2,,500000,2,1,01,1.2,70,906.87270569
5353657,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,906.87270569
5353657,1,4,1,80,2,1,3,,2,,,8,,2,,2,,,,,2,1,01,4,70,906.87270569
5353657,1,5,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,906.87270569
5353658,1,1,1,80,2,1,4,,2,,,8,,2,,2,,,,,2,1,01,3,70,1342.811861
5353658,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1342.811861
5353659,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1735.0222255
5353661,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1291.8795042
5353662,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1912.5860948
5353662,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1912.5860948
5353663,1,2,1,80,2,1,3,,2,,,9,,2,,2,,2,,300000,2,1,01,4,70,2640.0353784
5353663,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,2640.0353784
5353663,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,2640.0353784
5353664,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1810.2223796
5353666,1,1,1,80,2,1,6,,2,,,11,,2,,2,,,,,2,1,01,4,70,1537.6430968
5353668,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,1759.7980744
5353668,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1759.7980744
5353668,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1759.7980744
5353668,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1759.7980744
5353669,1,3,1,80,2,1,9,POR LA PANDEMIA,2,,,1,,2,,2,,1,48,600000,2,1,01,1.4,70,1513.8720774
5353670,1,3,1,80,2,1,3,,2,,,1,,2,,2,,,,400000,2,1,01,3,70,1014.9921451
5353671,1,3,1,80,2,2,,,,2,,,.,2,,2,,2,,500000,2,1,01,,70,1689.7002482
5353672,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1423.2508558
5353673,1,1,1,80,2,1,4,,2,,,11,,2,,2,,,,,2,1,01,4,70,1141.8224504
5353674,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,70,848.27342832
5353674,1,3,1,80,2,2,,,,2,,,.,2,,2,,1,40,200000,2,1,01,,70,848.27342832
5353675,1,2,1,80,2,2,,,,2,,,.,2,,2,,1,30,300000,2,1,01,,70,1989.4051418
5353675,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1989.4051418
5353675,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,70,1989.4051418
5353676,1,2,1,80,2,2,,,,1,2,1,,2,,2,,,,,2,1,01,,70,1571.1210506
5354516,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,20,1005.5467723
5354518,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,20,1417.102125
5354519,1,2,1,80,2,2,,,,2,,,.,2,,2,,2,,300000,2,1,01,,20,1132.0041635
5354519,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,01,,20,1132.0041635
5354519,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,20,1132.0041635
5354519,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,01,,20,1132.0041635
