DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,AREA,ESC,MES,DPTO,fex_c_2011
5332852,1,3,1,10,1,2,10,2020,0,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,,,,,,,,76,,01,76,1104.8016632
5332853,1,1,1,10,1,2,8,1951,69,1,6,,5,3,,3,,,,,,,,,,,,,,1,,1,1,,,1,2,70224,2,1,2,,3,5,,,76,5,01,76,943.65814299
5332854,1,1,1,10,1,2,3,1969,51,1,6,,4,2,,3,,,,,,,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,4,,,76,4,01,76,1045.7969214
5332854,1,2,1,10,1,1,10,1993,27,3,6,,6,3,,1,1,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,4,8,,,76,8,01,76,1045.7969214
5332854,1,3,1,10,1,2,8,2003,17,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,2,,4,8,,,76,8,01,76,1045.7969214
5332855,1,1,1,10,1,1,3,1964,56,1,6,,2,3,,3,,1,2,1,,1,1,,,1,,1,,,,1,1,,,3,,,2,1,2,,3,3,,,76,3,01,76,966.4771524
5332855,1,2,1,10,2,2,10,1965,55,2,6,,2,3,,3,,1,1,1,,,,,,,,,,,,,1,,,3,,,2,1,2,,3,2,,,76,2,01,76,966.4771524
5332855,1,3,1,10,3,1,1,1990,31,3,6,,6,1,1,1,2,,,1,,1,,1,,,1,1,,,,,1,,,3,,,2,1,2,,5,11,2,,76,11,01,76,966.4771524
5332855,1,4,1,10,2,2,11,1992,28,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,2,2,,1,0,,,76,0,01,76,966.4771524
5332855,1,5,1,10,2,1,2,2006,14,4,6,,6,2,,1,4,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,4,6,,,76,6,01,76,966.4771524
5332855,1,6,1,10,2,2,7,2013,7,4,6,,,3,,1,4,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,3,1,,,76,1,01,76,966.4771524
5332855,1,7,1,10,7,2,3,1986,34,3,6,,4,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,3,,,76,3,01,76,966.4771524
5332855,1,8,1,10,2,1,6,2005,15,4,6,,6,2,,2,,,,,,,,,,,1,,,,,,1,,,3,,,2,1,2,,3,5,,,76,5,01,76,966.4771524
5332864,1,1,1,10,1,1,2,1942,78,1,6,,3,3,,3,,1,2,1,1,1,1,,,,,1,,,,1,1,,,1,2,70224,2,1,2,,3,5,,,05,5,01,05,1226.7129172
5332864,1,2,1,10,2,2,2,1951,69,2,6,,3,3,,3,,1,1,1,1,1,,,,,,1,,,,,1,,,1,5,,2,1,2,,3,5,,,05,5,01,05,1226.7129172
5332864,1,3,1,10,3,2,11,1976,44,3,6,,6,1,1,1,2,,,1,,1,,,,,,1,,,,,1,,,3,,,2,1,2,,6,5,4,,05,16,01,05,1226.7129172
5332864,1,4,1,10,4,1,6,1994,26,3,6,,6,1,1,1,2,,,,,1,,,,1,,1,,,,,1,,,1,5,,2,1,2,,4,8,,,05,8,01,05,1226.7129172
5332871,1,1,1,10,1,2,9,1985,35,1,6,,1,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,112000,2,1,2,,6,2,3,,17,13,01,17,201.3798871
5332871,1,2,1,10,2,1,10,1994,26,2,6,,1,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,6,3,3,,17,14,01,17,201.3798871
5332871,1,3,1,10,1,2,8,2007,13,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,1,4,7,,,17,7,01,17,201.3798871
5332872,1,1,1,10,1,1,8,1960,60,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,1,35112,2,1,2,,5,11,2,,17,11,01,17,187.11179144
5332872,1,2,1,10,2,2,8,1968,52,2,6,,3,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,35112,2,1,2,,5,11,2,,17,11,01,17,187.11179144
5332873,1,1,1,10,1,1,6,1967,53,1,6,,6,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,1,100000,2,1,2,,6,7,5,,17,18,01,17,223.68780568
5332874,1,1,1,10,1,2,6,1973,47,1,6,,4,3,,2,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,4,9,,,17,9,01,17,229.71195629
5332874,1,2,1,10,2,2,4,1992,28,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,17,11,01,17,229.71195629
5332874,1,3,1,10,1,1,5,2012,8,4,6,,,2,,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,1,,,17,1,01,17,229.71195629
5332874,1,4,1,10,4,1,4,1995,25,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,2,2,,,,,2,1,2,,4,9,,,17,9,01,17,229.71195629
5332875,1,1,1,10,1,2,8,1974,46,1,6,,6,1,4,1,3,,,,,,,,,,,,,1,,2,1,,,1,1,35112,2,1,2,,6,2,3,,17,13,01,17,201.86902529
5332875,1,2,1,10,1,2,9,2009,11,3,6,,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,1,5,,2,1,1,1,4,0,,,17,5,01,17,201.86902529
5332875,1,3,1,10,3,2,5,1951,69,5,6,,3,2,,3,,1,4,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,5,,,17,5,01,17,201.86902529
5332875,1,4,1,10,4,1,3,1945,75,5,6,,3,3,,3,,1,3,,,,,,,,,,,1,,,1,,,1,2,105336,2,1,2,,3,5,,,17,5,01,17,201.86902529
5332876,1,1,1,10,1,1,8,1963,57,1,6,,2,3,,3,,1,2,,,,,,,,,,,1,,2,1,,,1,3,109725,2,1,2,,3,5,,,17,5,01,17,245.15074747
5332876,1,2,1,10,2,2,6,1969,51,2,6,,2,3,,2,,1,1,,,,,,,,,,,1,,,1,,,1,5,,2,1,2,,3,5,,,17,5,01,17,245.15074747
5332876,1,3,1,10,3,1,6,1987,33,3,6,,6,2,,1,2,,,,,,,,,,,,,1,,,1,,,1,1,35112,2,1,2,,5,11,2,,17,11,01,17,245.15074747
5332876,1,4,1,10,4,2,9,1996,24,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,1,6,0,2,2,17,11,01,17,245.15074747
5332876,1,5,1,10,1,2,10,2009,11,3,6,,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,1,5,,2,1,1,1,4,0,,,17,5,01,17,245.15074747
5332896,1,1,1,10,1,1,12,1975,45,1,6,,3,3,,2,,1,2,1,,,,,,,,,,,,2,1,,,1,1,131600,2,1,2,,6,5,4,,05,16,01,05,1808.2203158
5332896,1,2,1,10,2,2,1,1981,40,2,6,,3,2,,2,,1,1,,,,,,,,,,,1,,,1,,,1,1,80000,2,1,2,,6,3,3,,05,14,01,05,1808.2203158
5332896,1,3,1,10,2,2,3,2011,9,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,2,3,2,,,05,2,01,05,1808.2203158
