DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,CLASE,MES,DPTO,fex_c_2011
5373385,1,9,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1057.5006274
5373386,1,1,1,90,2,,1,36,2,,2,,2,,2,,2,,2,,2,,1,2,2,02,44,1175.0166544
5373386,1,2,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1175.0166544
5373387,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,1,6,2,02,44,1033.295937
5373387,1,2,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1033.295937
5373388,1,1,1,90,2,,1,34,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5373388,1,2,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5373388,1,3,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5373388,1,4,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5373389,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1040.9778455
5373390,1,1,1,90,2,,1,36,2,,2,,2,,2,,2,,2,,2,,1,6,2,02,44,847.66177552
5373390,1,2,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5373390,1,3,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5373390,1,4,1,90,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,847.66177552
5373391,1,1,1,90,2,,1,38,2,,2,,2,,2,,2,,2,,2,,1,16,2,02,44,970.41505405
5373391,1,2,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,970.41505405
5373391,1,3,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,1,20,2,02,44,970.41505405
5373392,1,1,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,726.88758541
5373392,1,2,1,90,2,,1,36,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,726.88758541
5373392,1,3,1,90,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,726.88758541
