DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5372944,1,1,1,60,2,18,1,2,1,,1,,,1,1,1,1,396,,1,,2,908500,2,,,2,,2,,2,,2,,2,,,1,106800,2,2,,,2,,,2,,,2,,,1,454500,1,600000,1,475000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,6,7,,1,,1,1,1,33,1,1,,,,,,,,,1,1,1,0,60,4,,2,,,,,,,,3,12,25,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,39,47,1,02,1,4759,908500,18,772.78406334,
5372945,1,1,1,60,2,18,2,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,7200000,3,,12,2,,,,,3,1,1,60,,.,60,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,18,8,,2,,,,,,,,3,11,10,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,8,,98,49,1,02,4,4921,600000,18,739.30041567,
5372945,1,3,1,60,2,18,1,1,,,1,,,1,2,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,900000,1,10800000,3,,12,2,,,,,1,1,1,48,,.,48,,,4,7,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,12,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,41,47,1,02,4,4741,900000,18,739.30041567,
5372947,1,1,1,60,2,18,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,500000,1,6000000,3,,12,2,,,,,3,3,2,40,,.,40,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,360,4,,2,,,,,,,,3,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,61,01,1,02,4,0144,500000,18,1684.8892054,
5372948,1,1,1,60,2,18,2,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,900000,1,6000000,3,,12,2,,,,,2,1,1,48,,.,48,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,72,8,,2,,,,,,,,3,11,20,,2,,,,1,1,2,1,2,2,2,2,1,1,2,,2,1,2,2,1,2,2,1,3,,98,49,1,02,4,4921,900000,18,1394.9734241,
5372949,1,1,1,60,2,18,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,500000,1,6000000,3,,12,2,,,,,2,1,1,48,,.,30,6,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,60,1,,2,,,,,,,,10,11,14,2,2,,,,1,1,2,1,2,2,2,2,2,2,2,,1,1,1,2,2,2,2,1,8,,83,25,1,02,4,2511,500000,18,1437.185466,
5373384,1,1,1,60,2,44,2,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,70000,1,300000,1,,12,2,,,,,3,10,2,21,2,,5,6,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,10,4,,2,,,,,,,,1,3,10,1,2,,,,1,1,2,1,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,1,5,,55,81,1,02,4,8121,70000,44,1701.2909968,
5373385,1,4,1,60,2,44,1,2,2,12,1,,,2,2,2,2,11,,1,,2,600000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,84,,.,84,,,2,7,,11,,2,,,,1,,,,,,,,,1,2,2,1,0,12,4,,2,,,,,,,,3,11,5,,2,,,,1,1,2,1,2,2,2,2,1,1,2,,2,1,2,2,2,2,2,2,5,,58,47,1,02,1,4731,600000,44,1057.5006274,
5373385,1,5,1,60,2,44,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,70000,1,140000,1,,2,2,,,,,1,10,2,48,,.,24,6,,2,2,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,10,2,2,,,,1,1,2,1,2,1,2,2,1,1,2,,2,1,1,2,1,2,2,1,3,,95,41,1,02,4,4111,70000,44,1057.5006274,
5373386,1,1,1,60,2,44,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,20000,1,600000,3,,12,2,,,,,3,3,2,30,2,,16,6,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,60,3,,2,,,,,,,,3,14,,2,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,56,96,1,02,4,9601,20000,44,1175.0166544,
5373387,1,2,1,60,2,44,1,2,2,12,2,4,ALCALDIA MUNICIPAL DE DIBULLA,1,1,1,1,17,,1,,2,1600000,2,,,2,,2,,2,,2,,2,,,1,103000,2,2,,,2,,,2,,,2,,,1,700000,1,700000,1,700000,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,1,1,8,1,1,,,,,,,,,1,2,1,3,10,1,,2,,,,,,,,1,8,30,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,5,,21,84,1,02,2,8413,1600000,44,1033.295937,8412
