DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5384893,1,1,1,70,2,40,40,3,,2,40,3,,1,2,1,,,,,,,,,,,1,2,,906300,2,,97,54,54,1,2,02,9700,19,1984.1603812
5384893,1,2,1,70,2,60,40,1,,2,60,1,,9,2,1,,,,1,,,,,,,,2,,906300,1,4,01,61,61,1,2,02,0124,19,1984.1603812
5385202,1,1,1,70,2,16,40,3,,2,16,3,,1,2,8,,,,,,,,,,,1,2,,900000,2,,97,54,54,1,2,02,9700,54,729.8288122
5385207,1,2,1,70,2,1,72,4,,2,1,4,,1,2,1,,,,,,,,,,,1,1,900000,900000,2,,01,62,62,1,1,02,0126,54,360.71700339
5385207,1,3,1,70,2,1,56,4,,2,1,4,,1,2,1,,,,,,,,,,,1,1,600000,800000,2,,81,55,55,1,1,02,8121,54,360.71700339
5385207,1,5,1,70,2,2,50,4,,2,2,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,81,55,55,1,1,02,8121,54,360.71700339
5385213,1,2,1,70,2,4,48,4,,2,4,4,,1,2,1,,,,,,,,,,,1,1,800000,900000,2,,01,62,62,1,1,02,0122,54,358.20542585
5385215,1,5,1,70,2,1,56,4,,2,16,4,,1,2,4,,,,,,,,,,,1,2,,600000,2,,56,53,53,1,1,02,5611,54,923.20160597
5385218,1,2,1,70,2,2,48,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,900000,800000,2,,01,62,62,1,1,02,0161,54,480.11057821
5385220,1,1,1,70,2,3,40,4,,2,3,4,,1,2,1,,,,,,,,,,,1,1,900000,800000,2,,01,62,62,1,1,02,0161,54,600.27301744
5385222,1,1,1,70,2,4,72,4,,2,4,4,,1,2,1,,,,,,,,,,,1,1,400000,500000,2,,81,53,53,1,1,02,8121,54,712.74779759
5385233,1,1,1,70,2,2,54,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,800000,900000,2,,01,62,62,1,1,02,0161,54,1132.7952294
5385234,1,1,1,70,2,1,72,4,,2,1,4,,1,2,1,,,1,,,,,,,,,1,800000,900000,2,,01,62,62,1,1,02,0161,54,966.7751607
