DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
6043046;1;1;1;60;70;1;70;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;965000;1;;3;;1;2;12;36;2;;36;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;2;14;;3;;1;;57;96;1;12;4;9602;965000;70;165.56145164;
6043046;1;2;1;60;70;1;70;2;;;;;;;;;;144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;754000;1;;3;;1;2;12;50;;.;50;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;1;8;72;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;2;14;;3;;1;;45;47;1;12;4;4781;754000;70;165.56145164;
6043047;1;1;1;60;70;1;70;1;2;1;;1;;1;1;1;1;168;;5;;2;1500000;2;;;2;;2;;2;;2;;2;;;1;106454;2;1;153940;2;2;;;2;;;2;;;1;750000;1;1500000;1;750000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;5;;1;;1;1;1;14;1;;;;;;;;;1;1;1;0;24;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;14;3;;1;;37;53;1;12;2;5310;1500000;70;199.66465571;
6043048;1;1;1;60;70;1;70;2;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;350000;1;;3;;10;2;12;32;2;;32;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;1;5;192;4;;13;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;5;3;;1;;45;56;1;12;4;5619;350000;70;131.77217705;
6043048;1;2;1;60;70;1;70;1;2;2;12;1;;1;1;2;1;9;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;9;48;;.;48;;;;7;9;;1;;1;1;1;3;1;;;;;;;;;1;1;1;16;6;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;50;1;;1;;97;42;1;12;1;4290;908526;70;131.77217705;
6043050;1;1;1;60;70;1;70;2;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;400000;1;;3;;3;1;6;20;2;;20;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;6;12;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;11;3;;1;;57;96;1;12;4;9602;400000;70;155.6975601;
6043050;1;2;1;60;70;1;70;2;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;700000;1;;3;;3;1;12;56;;.;56;;;;1;6;;11;;2;;;;;;;;;;;;1;2;2;1;4;60;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;45;47;1;12;4;4721;700000;70;155.6975601;
6043050;1;4;1;60;70;1;70;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;100000;1;;3;;3;1;2;40;;.;40;;;;1;6;;11;;2;;;;;;;;;;;;1;2;2;1;12;120;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;12;3;;1;;45;56;1;12;4;5619;100000;70;155.6975601;
6043051;1;1;1;60;70;1;70;1;1;;;1;;2;2;2;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;2;;;;;3;580000;1;;3;;1;1;12;48;;.;48;;;;2;2;;2;;2;;;;;;;;;;;;1;2;2;1;12;120;4;;9;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;1;1;2;2;2;2;1;1;12;10;3;;1;1;79;14;1;12;4;1410;580000;70;140.75620412;
6043051;1;2;1;60;70;1;70;1;1;;;1;;2;2;2;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;2;;;;;3;300000;1;;3;;1;1;12;48;;.;48;;;;5;7;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;2;1;2;2;2;2;1;1;3;12;3;;1;1;77;47;1;12;4;4721;300000;70;140.75620412;
6043052;1;1;1;60;70;1;70;1;2;2;12;1;;1;1;2;1;144;;2;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;877803;2;;1;438901;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;12;1;;;;;;;;;1;2;1;0;82;2;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;2;11;16;3;;1;;59;86;1;12;1;8610;908526;70;92.419966473;
6043052;1;2;1;60;70;1;70;1;2;2;12;1;;1;1;2;1;72;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;877803;2;;1;438901;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;6;1;;;;;;;;;1;1;1;0;240;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;2;11;12;3;;1;;59;86;1;12;1;8610;908526;70;92.419966473;
6043054;1;1;1;60;70;1;70;2;;;;;;;;;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;600000;1;;3;;10;1;12;60;;.;60;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;0;48;4;;3;2;;;;;;;;2;;;;1;1;1;1;2;2;2;2;2;2;;2;1;2;2;2;2;2;2;14;;3;;1;1;98;49;1;12;4;4921;600000;70;125.31020859;
6043054;1;2;1;60;70;1;70;1;1;;;1;;2;2;2;2;12;;1;;2;300000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;40;;;;2;1;;2;;2;;;;;;;;;;;;1;2;2;1;0;56;4;;3;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;2;1;1;2;1;2;1;1;14;;3;;1;1;45;47;1;12;1;4711;300000;70;125.31020859;
6043055;1;2;1;60;70;1;70;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;400000;1;;3;;3;2;12;59;;.;59;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;6;120;3;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;7;3;;1;;56;96;1;12;4;9601;400000;70;70.671709942;
6043055;1;3;1;60;70;1;70;1;1;;;1;;1;2;2;2;3;;1;;2;300000;2;;;1;100000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;46;;.;46;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;0;35;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;12;3;;1;;54;97;1;12;3;9700;400000;70;70.671709942;
6043055;1;4;1;60;70;1;70;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;800000;1;;3;;3;1;12;60;;.;60;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;5;12;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;98;49;1;12;4;4921;800000;70;70.671709942;
6043056;1;1;1;60;70;1;70;1;2;1;;1;;1;1;2;1;38;;2;;1;1600000;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;1600000;2;;1;800000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;3;1;;;;;;;;;1;1;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;15;1;;1;;30;78;1;12;1;7810;1600000;70;111.49101821;
6043056;1;3;1;60;70;1;70;1;2;1;;1;;1;2;2;2;11;;4;;1;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;11;48;;.;48;;;;9;1;;2;;2;;;;;;;;;;;;1;2;2;1;15;3;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;5;;1;;38;61;1;12;1;6110;908526;70;111.49101821;
6043057;1;1;1;60;70;1;70;1;1;;;1;;1;2;2;2;310;;1;;2;500000;2;;;1;240000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;20;3;;1;;54;97;1;12;3;9700;740000;70;136.50140114;
6043057;1;2;1;60;70;1;70;2;;;;;;;;;;372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;480000;1;;3;;10;1;12;48;;.;48;;;;2;9;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;12;12;3;;1;;95;41;1;12;4;4112;480000;70;136.50140114;
6043058;1;1;1;60;70;1;70;1;2;1;;1;;1;1;2;1;60;;2;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;877803;2;;1;438900;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;5;;1;;1;2;1;10;1;;;;;;;;;1;1;1;0;120;4;;3;2;;;;;;;;2;;;;1;2;1;2;2;2;2;2;2;2;;1;1;1;2;1;2;1;1;8;60;4;;1;1;45;47;1;12;1;4729;908526;70;118.55805996;
6043058;1;2;1;60;70;1;70;1;2;1;;1;;1;1;2;1;1;;2;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;6;56;;.;56;;;;9;7;;1;;1;2;1;8;1;;;;;;;;;1;1;1;6;24;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;12;10;3;;1;;45;47;1;12;1;4771;908526;70;118.55805996;
6043059;1;1;1;60;70;1;70;2;;;;;;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;640000;1;;3;;1;2;12;45;;.;45;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;0;120;8;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;2;11;20;3;;1;;95;43;1;12;4;4330;640000;70;132.96138968;
6043059;2;1;2;60;70;1;70;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;589000;1;;3;;1;2;12;56;;.;42;6;;1;2;9;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;2;11;16;3;;1;;95;41;1;12;4;4111;589000;70;132.96138968;
6043061;1;2;1;60;70;1;70;1;1;;;1;;1;2;2;2;3;;1;;2;540000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;4;9;;2;;2;;;;;;;;;;;;1;2;2;1;0;184;4;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;1;45;3;;1;;95;42;1;12;1;4210;540000;70;188.90800129;
6043063;1;1;1;60;70;1;70;2;;;;;;;;;;408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;600000;1;;3;;10;2;12;60;;.;60;;;;1;6;;3;;2;;;;;;;;;;;;1;2;2;1;0;12;4;;3;2;;;;;;;;2;;;;1;1;1;1;2;2;2;1;1;2;;2;1;1;2;2;2;1;1;14;;3;;1;1;45;47;1;12;4;4721;600000;70;131.77217705;
6043064;1;1;1;60;70;1;70;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.;;;;;;;;;.;;;12;20;2;;20;;;;2;1;;2;;2;;;;;;;;;;;;1;2;2;1;0;72;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;2;14;;3;;1;;77;47;1;12;6;4721;;70;76.574033062;
6043064;1;2;1;60;70;1;70;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;1;1;3;6;;;;;3;500000;1;;3;;3;1;12;64;;.;64;;;;2;1;;2;;2;;;;;;;;;;;;1;2;2;1;6;62;4;;9;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;77;47;1;12;4;4721;500000;70;76.574033062;
6043064;1;3;1;60;70;1;70;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;1;1;3;6;;;;;3;500000;1;;3;;3;1;12;72;;.;72;;;;2;6;;2;;2;;;;;;;;;;;;1;2;2;1;11;132;4;;9;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;77;47;1;12;4;4721;500000;70;76.574033062;
6043065;1;3;1;60;70;1;70;2;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;800000;1;;3;;3;1;12;70;;.;70;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;14;72;4;;9;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;98;49;1;12;4;4921;800000;70;123.26279004;
6043068;1;2;1;60;70;1;70;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;50000;1;;3;;3;2;12;10;2;;7;6;;2;1;1;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;79;95;1;12;4;9529;50000;70;120.74073144;
6043068;1;3;1;60;70;1;70;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;400000;1;;3;;1;2;12;56;;.;56;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;8;24;4;;13;2;;;;;;;;2;;;;1;2;1;1;1;1;1;1;1;2;;1;1;2;2;2;2;2;1;14;;3;;1;1;98;49;1;12;4;4921;400000;70;120.74073144;
6043071;1;2;1;60;70;1;70;2;;;;;;;;;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;600000;1;;3;;1;1;12;40;;.;40;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;0;18;1;;1;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;2;1;1;2;1;2;2;1;14;;3;;1;1;94;32;1;12;4;3290;600000;70;103.70100407;
6043072;1;1;1;60;70;1;70;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;600000;1;;3;;3;2;6;48;;.;24;6;;2;3;9;;2;;2;;;;;;;;;;;;1;2;2;1;1;1;4;;1;2;;;;;;;;2;;;;1;2;1;2;1;2;2;1;1;2;;2;1;2;2;2;2;2;1;3;30;3;;1;1;95;41;1;12;4;4112;600000;70;91.251448767;
6043072;1;3;1;60;70;1;70;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;600000;1;;3;;1;2;6;48;;.;24;6;;2;3;9;;2;;2;;;;;;;;;;;;1;2;2;1;1;1;4;;1;2;;;;;;;;2;;;;1;2;1;2;1;2;2;1;1;2;;2;1;2;2;2;2;2;1;3;15;3;;1;1;95;41;1;12;4;4112;600000;70;91.251448767;
6043073;1;1;1;60;70;1;70;1;2;1;;2;1;1;1;2;1;13;;3;;2;1120000;2;;;2;;2;;2;;2;;2;;;1;106454;2;1;76970;2;2;;;2;;;2;;;1;1080000;2;;1;540000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;7;1;;;;;;;;;1;1;1;12;4;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;5;1;;1;;58;86;1;12;1;8610;1120000;70;173.9557944;7810
6043074;1;1;1;60;70;1;70;2;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;3;6;;;;;3;800000;1;;3;;1;1;12;48;;.;32;6;;1;2;1;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;79;14;1;12;4;1410;800000;70;63.828213039;
6043074;1;2;1;60;70;1;70;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.;;;;;;;;;.;;;12;7;1;;7;;;;2;1;;2;;2;;;;;;;;;;;;1;2;2;1;99;18;4;;11;2;;;;;;;;1;41;2;2;1;1;1;2;2;2;2;2;2;2;;2;2;2;2;2;2;1;1;14;;3;;1;1;79;14;1;12;6;1410;;70;63.828213039;
6043074;1;3;1;60;70;1;70;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;3;6;;;;;3;200000;1;;3;;1;1;12;28;1;;28;;;;2;5;;2;;2;;;;;;;;;;;;1;2;2;1;0;48;4;;3;1;70;14;4;;50000;1;1;1;20;1;1;1;1;1;2;2;2;2;2;2;2;;1;1;2;2;2;2;1;1;11;10;3;;1;1;37;96;1;12;4;9609;250000;70;63.828213039;
6043074;1;4;1;60;70;1;70;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.;;;;;;;;;.;;;12;7;1;;7;;;;2;5;;2;;2;;;;;;;;;;;;1;2;2;1;36;24;1;;3;2;;;;;;;;1;41;1;1;1;1;1;2;2;2;2;2;2;2;;1;1;2;2;2;2;1;1;11;10;3;;1;1;37;96;1;12;6;9609;;70;63.828213039;
6043075;1;1;1;60;70;1;70;1;2;1;;1;;1;1;2;1;36;;2;;1;1000000;2;;;2;;2;;2;;2;;2;;;1;106700;2;2;;;2;;;2;;;2;;;1;1000000;2;;1;500000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;72;;.;72;;;;5;7;;1;;1;1;1;10;1;;;;;;;;;1;1;1;2;36;1;;1;1;70;10;4;;800000;1;2;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;12;3;;1;;33;23;1;12;1;2395;1800000;70;151.15812192;
6043076;1;2;1;60;70;1;70;2;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;756000;1;;3;;1;2;12;50;;.;50;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;0;240;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;2;14;;3;;1;;98;49;1;12;4;4921;756000;70;74.366867582;
6043077;1;3;1;60;70;1;70;1;2;2;12;1;;1;2;2;2;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;;;;;3;1500000;1;;3;;3;1;12;50;;.;50;;;;6;7;;1;;1;1;2;3;;;;;;;;;1;2;2;1;7;34;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;12;3;;1;;19;94;1;12;4;9499;1500000;70;74.366867582;
6043078;1;2;1;60;70;1;70;2;;;;;;;;;;480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;1;2;;2;680000;1;;3;;1;1;12;48;;.;48;;;;1;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;12;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;15;3;;1;;41;47;1;12;4;4721;680000;70;129.72475851;
6043079;1;1;1;60;70;1;70;2;;;;;;;;;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;900000;1;;3;;3;2;12;48;;.;48;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;0;24;1;;9;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;12;3;;1;;03;95;1;12;4;9522;900000;70;159.08317004;
6043080;1;1;1;60;70;1;70;2;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;500000;1;;3;;1;2;12;63;;.;63;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;6;24;4;;3;2;;;;;;;;2;;;;1;2;1;1;1;1;1;1;1;2;;2;1;2;2;2;2;2;1;14;;3;;1;1;98;49;1;12;4;4921;500000;70;140.1266763;
6043081;1;1;1;60;70;1;70;2;;;;;;;;;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;800000;1;;3;;1;2;12;56;;.;56;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;0;120;1;;1;2;;;;;;;;2;;;;1;1;1;2;2;2;2;1;1;2;;1;1;2;2;2;2;2;2;14;;3;;1;1;98;49;1;12;4;4921;800000;70;89.044283287;
6043082;1;3;1;60;70;1;70;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;900000;1;;3;;3;1;12;45;;.;45;;;;1;2;;1;;1;1;2;12;;1;;;;;;;;2;2;1;6;12;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;59;86;1;12;4;8699;900000;70;108.15614217;
6043083;1;1;1;60;70;1;70;1;2;1;;1;;1;1;2;1;10;;2;;2;1200000;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;10;48;;.;48;;;;6;7;;1;;1;1;1;3;1;;;;;;;;;1;1;1;18;12;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;11;1;;1;;59;86;1;12;1;8621;1200000;70;110.79253982;
6043083;1;2;1;60;70;1;70;2;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;500000;1;;3;;1;2;12;50;;.;35;6;;2;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;3;9;4;;2;2;;;;;;;;2;;;;1;1;1;2;1;2;1;2;2;2;;2;1;2;2;2;2;2;1;14;;9;;1;1;98;49;1;12;4;4921;500000;70;110.79253982;
6043084;1;1;1;60;70;1;70;2;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;350000;1;;3;;1;1;12;48;;.;0;6;;1;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;0;180;4;;2;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;1;1;2;2;2;2;1;1;12;10;3;;1;1;03;43;1;12;4;4321;350000;70;163.62837214;
6043084;1;2;1;60;70;1;70;1;1;;;1;;2;2;2;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;2;;;;;3;200000;1;;3;;1;1;12;48;;.;32;6;;1;3;2;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;2;1;2;2;2;2;1;1;12;12;3;;1;1;95;41;1;12;4;4112;200000;70;163.62837214;
