PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20250417;04;2025;8201686;1;1;1;10;05;1;1728.1120796;05;1;1;1;79;7;1945;1;3;;3;;1;;2;6;;;3;1;2;1;1;2;56000;4;4;4;4;4;4;4;4;1;2;;9;6;2198;6;2198;2;1;1
20250417;04;2025;8201686;1;2;1;10;05;1;1728.1120796;05;1;2;2;61;3;1964;2;3;;3;;1;;2;6;;;3;1;1;1;1;2;56000;4;4;4;4;4;4;4;4;1;2;;9;6;11;6;11;1;2;1
20250417;04;2025;8201687;1;1;1;10;05;1;1344.9072919;05;1;1;2;79;12;1945;1;3;;3;;2;2;2;6;;;6;;;1;1;2;56940;4;4;4;4;4;4;4;4;1;2;;3;3;;;;1;2;1
20250417;04;2025;8201688;1;1;1;10;05;1;977.51794403;05;1;1;1;55;10;1969;1;1;2;3;;1;;2;6;;;4;;;1;1;1;96000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8201688;1;2;1;10;05;1;977.51794403;05;1;2;2;77;11;1947;4;3;;3;;1;;2;6;;;5;;;1;1;5;;4;4;3;3;4;4;4;4;1;2;;3;5;;;;1;2;1
20250417;04;2025;8201689;1;1;1;10;05;1;959.57733537;05;1;1;1;62;4;1963;1;3;;3;;1;;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8201691;1;1;1;10;05;1;1417.9666487;05;1;1;2;79;1;1946;1;3;;3;;2;1;2;6;;;6;;;1;1;3;177900;4;4;4;2;3;3;3;4;1;2;;3;2;;;;1;2;1
20250417;04;2025;8201691;1;2;1;10;05;1;1417.9666487;05;1;1;2;54;10;1970;9;2;;3;;2;1;2;6;;;6;;;1;1;3;177900;4;4;4;4;4;4;4;4;1;2;;3;3;;;;1;2;1
20250417;04;2025;8201692;1;1;1;10;05;1;1006.1068631;05;1;1;1;52;2;1973;1;2;;2;;2;1;2;6;;;1;1;2;2;;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8201692;1;2;1;10;05;1;1006.1068631;05;1;2;2;19;3;2006;2;2;;2;;2;1;2;6;;;1;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;1;2;1
20250417;04;2025;8201692;1;3;1;10;05;1;1006.1068631;05;1;3;2;0;12;2024;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20250417;04;2025;8201692;1;4;1;10;05;1;1006.1068631;05;1;4;2;22;6;2002;9;2;;2;;2;1;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;10;1;719;3;;1;2;1
20250417;04;2025;8201693;1;1;1;10;05;1;1389.8074209;05;1;1;1;48;11;1976;1;2;;2;;2;1;2;6;;;2;1;2;1;1;1;88000;4;4;4;4;4;4;4;4;1;2;;8;4;1039;5;1039;2;1;1
20250417;04;2025;8201693;1;2;1;10;05;1;1389.8074209;05;1;2;2;58;9;1966;2;3;;3;;2;2;2;6;;;2;1;1;1;1;1;104000;4;4;4;4;4;4;4;4;1;2;;8;4;415;5;415;1;2;1
20250417;04;2025;8201694;1;1;1;10;05;1;1344.9072919;05;1;1;2;74;9;1950;1;3;;3;;2;2;2;6;;;5;;;1;1;2;56940;3;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250417;04;2025;8201695;1;1;1;10;05;1;843.83832135;05;1;1;2;48;2;1977;1;3;;3;;2;2;2;6;;;6;;;1;1;3;178000;4;4;4;4;4;4;4;4;1;2;;10;10;1014;7;1014;1;2;1
20250417;04;2025;8201695;1;2;1;10;05;1;843.83832135;05;1;2;2;16;5;2008;3;1;1;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;;;
20250417;04;2025;8201696;1;1;1;10;05;1;1221.89743;05;1;1;1;84;2;1941;1;3;;3;;1;;2;6;;;3;1;2;1;1;3;200000;3;4;3;2;4;3;4;4;1;2;;3;4;;;;2;1;1
20250417;04;2025;8201696;1;2;1;10;05;1;1221.89743;05;1;2;2;72;5;1952;2;3;;3;;2;2;2;6;;;3;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20250417;04;2025;8201697;1;1;1;10;05;1;1366.1657593;05;1;1;1;27;7;1997;1;2;;3;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8201697;1;2;1;10;05;1;1366.1657593;05;1;2;2;27;7;1997;2;2;;3;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;9;6;411;6;411;1;2;1
20250417;04;2025;8201697;1;3;1;10;05;1;1366.1657593;05;1;3;2;1;9;2023;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20250417;04;2025;8201697;1;4;1;10;05;1;1366.1657593;05;1;4;2;0;10;2024;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20250417;04;2025;8201698;1;1;1;10;05;1;1432.9382803;05;1;1;1;49;12;1975;1;2;;2;;1;;2;6;;;2;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8201698;1;2;1;10;05;1;1432.9382803;05;1;2;2;48;6;1976;2;3;;3;;2;2;2;6;;;2;1;1;1;1;4;;4;4;4;4;4;4;4;4;1;1;1;9;5;1022;2;;1;2;1
20250417;04;2025;8201698;1;3;1;10;05;1;1432.9382803;05;1;3;1;13;4;2012;3;1;2;1;1;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;3;;;;;;
20250417;04;2025;8201699;1;1;1;10;05;1;4391.4326238;05;1;1;2;50;11;1974;1;2;;2;;2;2;2;6;;;6;;;1;1;1;80000;4;4;4;4;4;4;4;4;1;2;;9;6;729;6;729;1;2;1
20250417;04;2025;8201699;1;2;1;10;05;1;4391.4326238;05;1;2;1;29;7;1995;3;1;1;3;;2;2;2;6;;;6;;;1;1;1;57000;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;2;1;1
20250417;04;2025;8201699;1;3;1;10;05;1;4391.4326238;05;1;3;1;19;12;2005;3;1;1;2;;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;10;4;419;3;;1;1;1
20250417;04;2025;8201700;1;1;1;10;05;1;1253.9684806;05;1;1;2;27;7;1997;1;2;;2;;2;2;2;6;;;6;;;1;1;1;140000;4;4;4;4;4;4;4;4;1;2;;9;6;212;6;212;1;2;1
20250417;04;2025;8201701;1;1;1;10;05;1;2782.9363444;05;1;1;2;41;3;1984;1;2;;2;;2;1;2;5;;;5;;;1;1;2;57000;4;4;4;4;4;4;4;4;1;2;;8;4;613;5;613;1;2;1
20250417;04;2025;8201701;1;2;1;10;05;1;2782.9363444;05;1;1;1;13;8;2011;3;1;1;3;;2;2;2;5;;;6;;;1;1;2;57000;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;;;
20250417;04;2025;8201702;1;1;1;10;05;1;4084.24952;05;1;1;1;64;12;1960;1;3;;3;;1;;2;6;;;2;2;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8201703;1;1;1;10;05;1;2974.9752109;05;1;1;1;36;12;1988;1;2;;2;;1;;2;6;;;2;1;2;1;1;1;56920;4;4;4;4;4;4;4;4;1;2;;8;4;11;5;11;2;1;1
20250417;04;2025;8201703;1;2;1;10;05;1;2974.9752109;05;1;2;2;34;12;1990;2;2;;2;;2;2;2;6;;;2;1;1;1;1;1;80000;4;4;4;4;4;4;4;4;1;2;;8;4;415;5;415;1;2;1
20250417;04;2025;8201703;1;3;1;10;05;1;2974.9752109;05;1;3;1;10;8;2014;3;1;2;1;1;2;2;2;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;4;;;;;;
20250417;04;2025;8201704;1;1;1;10;05;1;1032.4263819;05;1;1;2;24;10;2000;1;2;;2;;2;2;2;6;;;2;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;9;6;413;6;413;1;2;1
20250417;04;2025;8201704;1;2;1;10;05;1;1032.4263819;05;1;2;1;32;9;1992;2;2;;2;;1;;2;6;;;2;1;1;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250417;04;2025;8201704;1;3;1;10;05;1;1032.4263819;05;1;1;1;2;1;2023;3;1;1;1;2;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20250417;04;2025;8201707;1;1;1;10;05;1;1264.0176704;05;1;1;1;30;6;1994;1;2;;2;;2;1;2;6;;;6;;;1;1;1;68000;4;4;4;4;4;4;4;4;1;2;;10;10;2198;7;2198;2;1;1
20250417;04;2025;8201708;1;1;1;10;05;1;3588.2015426;05;1;1;2;42;11;1982;1;2;;3;;2;2;2;6;;;2;1;2;1;1;2;56920;4;4;1;3;4;4;4;4;1;2;;10;10;413;7;413;1;2;1
20250417;04;2025;8201708;1;2;1;10;05;1;3588.2015426;05;1;2;1;42;9;1982;2;2;;3;;2;2;2;6;;;2;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
