PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20250207;02;2025;8126163;1;1;1;10;41;1;294.5876567;41;1;1;2;74;10;1950;1;3;;3;;1;;2;6;;;3;1;2;1;1;3;177938;4;4;4;4;4;4;4;4;1;2;;8;4;913;5;913;1;2;1
20250207;02;2025;8126163;1;2;1;10;41;1;294.5876567;41;1;2;1;76;4;1948;2;3;;3;;2;2;2;6;;;3;1;1;1;1;2;220000;4;3;3;1;2;3;1;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126163;1;3;1;10;41;1;294.5876567;41;1;3;2;38;11;1986;3;1;1;1;2;2;2;2;6;;;2;1;4;1;3;;;4;4;4;4;4;4;4;4;1;2;;8;4;721;5;721;1;2;1
20250207;02;2025;8126163;1;4;1;10;41;1;294.5876567;41;1;4;1;48;8;1976;7;2;;3;;2;2;2;6;;;2;1;3;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126163;1;5;1;10;41;1;294.5876567;41;1;3;2;6;8;2018;8;1;3;1;4;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;1;1;3;0;;;;;;
20250207;02;2025;8126164;1;1;1;10;41;1;179.30559478;41;1;1;2;48;11;1976;1;3;;1;8;2;2;2;6;;;2;1;2;1;3;;;4;3;4;4;4;4;4;4;1;2;;5;1;;1;;1;2;1
20250207;02;2025;8126164;1;2;1;10;41;1;179.30559478;41;1;2;1;52;8;1972;2;2;;3;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126164;1;3;1;10;41;1;179.30559478;41;1;3;2;24;1;2001;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126164;1;4;1;10;41;1;179.30559478;41;1;4;1;18;11;2006;3;1;1;1;2;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;2;1;1
20250207;02;2025;8126164;1;5;1;10;41;1;179.30559478;41;1;5;2;26;11;1998;3;1;1;2;;2;2;2;6;;;2;1;6;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126164;1;6;1;10;41;1;179.30559478;41;1;6;1;29;9;1995;7;2;;2;;2;2;2;6;;;2;1;5;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;4;3;;;;2;1;1
20250207;02;2025;8126164;1;7;1;10;41;1;179.30559478;41;1;7;1;6;3;2018;8;1;5;1;6;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20250207;02;2025;8126164;1;8;1;10;41;1;179.30559478;41;1;8;1;77;10;1947;4;3;;3;;1;;2;6;;;5;;;1;3;;;2;4;4;4;4;4;4;4;1;2;;3;1;;;;2;1;1
20250207;02;2025;8126165;1;1;1;10;41;1;202.19587328;41;1;1;2;24;11;2000;1;2;;2;;1;;2;6;;;2;1;2;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126165;1;2;1;10;41;1;202.19587328;41;1;2;1;30;10;1994;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126166;1;1;1;10;41;1;166.13901548;41;1;1;1;56;8;1968;1;2;;2;;1;;2;6;;;3;1;2;1;1;1;56940;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126166;1;2;1;10;41;1;166.13901548;41;1;2;2;56;7;1968;2;2;;3;;1;;2;6;;;3;1;1;1;3;;;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126169;1;1;1;10;41;1;232.89179257;41;1;1;2;20;4;2004;1;2;;2;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;5;1014;2;;2;2;1
20250207;02;2025;8126169;1;2;1;10;41;1;232.89179257;41;1;2;2;20;2;2005;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;2;1
20250207;02;2025;8126170;1;1;1;10;41;1;296.85804289;41;1;1;2;56;8;1968;1;3;;3;;2;1;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;6;2;;3;;1;2;1
20250207;02;2025;8126170;1;2;1;10;41;1;296.85804289;41;1;2;1;60;7;1964;2;3;;3;;2;1;2;6;;;2;1;1;1;3;;;1;1;1;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126170;1;3;1;10;41;1;296.85804289;41;1;3;1;43;5;1981;3;1;1;2;;2;2;2;6;;;4;;;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;10;10;113;7;113;2;1;1
20250207;02;2025;8126170;1;4;1;10;41;1;296.85804289;41;1;4;1;22;9;2002;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;9;4;611;2;;2;1;1
20250207;02;2025;8126171;1;1;1;10;41;1;213.07292873;41;1;1;1;49;11;1975;1;2;;2;;2;2;2;6;;;3;2;;1;1;1;86000;4;4;4;4;4;4;4;4;1;2;;10;10;713;7;713;2;1;1
20250207;02;2025;8126171;1;2;1;10;41;1;213.07292873;41;1;2;1;33;9;1991;13;2;;2;;2;2;2;6;;;6;;;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126171;1;3;1;10;41;1;213.07292873;41;1;3;1;20;8;2004;13;2;;2;;2;2;2;6;;;6;;;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126171;1;4;1;10;41;1;213.07292873;41;1;4;1;38;9;1986;13;2;;2;;2;2;2;6;;;6;;;1;1;1;56940;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250207;02;2025;8126172;1;1;1;10;41;1;121.18058544;41;1;1;2;51;2;1974;1;3;;3;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126174;1;1;1;10;41;1;136.17753448;41;1;1;1;42;6;1982;1;2;;2;;9;9;9;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;2;1;1
20250207;02;2025;8126174;1;2;1;10;41;1;136.17753448;41;1;2;2;40;4;1984;2;2;;2;;9;9;9;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126174;1;3;1;10;41;1;136.17753448;41;1;2;2;7;7;2017;3;1;2;1;1;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20250207;02;2025;8126176;1;1;1;10;41;1;99.540142836;41;1;1;2;60;7;1964;1;3;;2;;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;1;;;;1;2;1
20250207;02;2025;8126176;1;2;1;10;41;1;99.540142836;41;1;2;1;27;2;1998;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;8;111;2;;2;1;1
20250207;02;2025;8126176;1;3;1;10;41;1;99.540142836;41;1;3;2;24;6;2000;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;10;4;313;2;;1;2;1
20250207;02;2025;8126177;1;1;1;10;41;1;110.47326779;41;1;1;1;43;6;1981;1;1;4;3;;2;2;2;6;;;3;1;2;1;1;1;64940;4;4;4;4;4;4;4;4;1;2;;9;6;413;6;413;2;1;1
20250207;02;2025;8126177;1;2;1;10;41;1;110.47326779;41;1;2;2;47;6;1977;2;3;;3;;2;9;9;6;;;3;1;1;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126177;1;3;1;10;41;1;110.47326779;41;1;3;1;13;10;2011;3;1;2;1;1;2;2;9;6;;;6;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;2;;;;;;
20250207;02;2025;8126177;1;4;1;10;41;1;110.47326779;41;1;1;2;78;5;1946;4;3;;3;;1;;9;6;;;5;;;1;1;5;;4;4;3;4;4;4;4;4;2;2;;1;0;;;;1;2;1
20250207;02;2025;8126178;1;1;1;10;41;1;132.25064892;41;1;1;1;45;6;1979;1;3;;2;;2;2;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20250207;02;2025;8126178;1;2;1;10;41;1;132.25064892;41;1;2;2;29;2;1995;2;2;;2;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;3;;;;1;2;1
20250207;02;2025;8126178;1;3;1;10;41;1;132.25064892;41;1;2;1;4;4;2020;3;1;2;1;1;2;9;9;6;;;;;;1;3;;;4;3;4;4;4;3;4;4;2;2;;1;0;;;;;;
20250207;02;2025;8126179;1;1;1;10;41;1;152.17898467;41;1;1;2;89;8;1935;1;3;;3;;2;2;2;6;;;5;;;1;1;2;56490;4;4;3;2;2;4;2;4;1;2;;3;5;;;;1;2;1
20250207;02;2025;8126179;1;2;1;10;41;1;152.17898467;41;1;2;2;56;11;1968;3;1;1;3;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;2;1
20250207;02;2025;8126179;1;3;1;10;41;1;152.17898467;41;1;3;2;30;8;1994;8;1;2;2;;2;2;2;6;;;6;;;1;1;1;56490;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126179;1;4;1;10;41;1;152.17898467;41;1;3;1;5;11;2019;9;1;3;2;;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;2;1;1;1;0;;;;;;
20250207;02;2025;8126179;1;5;1;10;41;1;152.17898467;41;1;5;2;41;7;1983;8;2;;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;3;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250207;02;2025;8126179;1;6;1;10;41;1;152.17898467;41;1;6;1;14;10;2010;9;1;5;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;
20250207;02;2025;8126179;1;7;1;10;41;1;152.17898467;41;1;5;2;10;2;2015;9;1;5;2;;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;3;;;;;;
20250207;02;2025;8126181;1;1;1;10;41;1;107.60800376;41;1;1;2;80;10;1944;1;3;;3;;2;2;2;6;;;5;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20250207;02;2025;8126181;1;2;1;10;41;1;107.60800376;41;1;2;1;45;5;1979;3;1;1;2;;2;2;2;6;;;6;;;1;3;;;3;3;4;3;3;1;3;3;2;2;;1;0;;;;2;1;1
20250207;02;2025;8126182;1;1;1;10;41;1;121.60848119;41;1;1;2;75;10;1949;1;3;;3;;2;2;2;6;;;3;1;2;1;1;5;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;1;2;1
20250207;02;2025;8126182;1;2;1;10;41;1;121.60848119;41;1;2;1;85;1;1940;2;3;;3;;2;1;2;6;;;3;1;1;1;1;2;56940;4;4;4;4;4;4;4;4;2;2;;1;0;;;;2;1;1
20250207;02;2025;8126182;1;3;1;10;41;1;121.60848119;41;1;4;1;31;5;1993;8;3;;2;;2;1;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;9;6;611;6;611;2;1;1
