DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,HOGAR,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,CLASE,MES,DPTO,fex_c_2011
5423774,1,3,2,3,1,1,2,1,3,3,,,,,250000,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,3,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,332.15182008
5423775,1,3,1,2,1,1,2,1,3,1,,,7000000,60000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,5,2,1,1,1,2,1,3,2,,01,2,04,18,307.08857791
5423776,1,4,3,2,1,1,2,1,4,4,,,,70000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,7,2,,1,1,5,2,1,1,2,2,1,3,2,,01,2,04,18,644.59662378
5423777,1,3,1,2,1,1,3,1,3,1,,,12000000,100000,,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,222.05975176
5423778,1,2,1,2,1,1,2,1,3,4,,,,50000,,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,5,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,305.65847932
5423779,1,3,1,2,1,1,4,1,3,1,,,9000000,120000,,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,383.42175075
5423780,1,3,2,2,1,1,4,1,3,1,,,8000000,60000,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,2,,1,1,5,2,1,1,1,2,1,3,2,,01,2,04,18,161.14915595
5423781,1,3,2,2,1,1,4,1,3,3,,,,,300000,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,3,2,,01,2,04,18,607.75179531
5423782,1,2,1,2,1,1,4,1,4,3,,,,,100000,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,3,2,,1,1,5,2,1,1,2,2,1,3,2,,01,2,04,18,384.02741151
5423783,1,3,2,2,1,1,4,1,4,3,,,,,250000,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,5,2,1,1,2,2,1,3,2,,01,2,04,18,176.33719952
5424708,1,2,1,2,1,4,2,1,5,4,,,,150000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,3,1,2,,2,2,2,,2,,01,2,04,68,1012.5277155
5424709,1,2,1,2,1,4,2,1,5,4,,,,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,,1,1,1,2,2,,2,2,2,,2,,01,2,04,68,1775.1922648
5424710,1,2,2,2,1,4,2,1,5,1,,,40000000,100000,,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,4,5,2,,1,1,3,1,2,,2,2,2,,2,,01,2,04,68,1488.6955899
5424711,1,3,2,2,1,4,2,1,5,4,,,,150000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,2,,1,1,1,2,1,1,2,2,2,,2,,01,2,04,68,2073.2667276
5424712,1,3,2,2,1,4,2,1,5,4,,,,150000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,3,1,1,1,2,2,2,,2,,01,2,04,68,1291.8081318
5424713,1,4,2,2,1,4,2,1,5,4,,,,200000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,1,1,3,1,2,,2,2,2,,2,,01,2,04,68,782.65437027
5424714,1,2,1,6,,4,2,1,5,4,,,,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,5,1,2,,2,2,2,,2,,01,2,04,68,1775.1922648
5424725,1,5,2,2,1,4,6,1,5,1,,,88000000,300000,,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,,1,1,3,2,1,2,2,2,2,,2,,01,2,04,54,709.86327831
5424726,1,5,2,2,1,4,2,3,5,5,,,,300000,,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,3,2,,1,1,1,2,1,2,2,2,2,,2,,01,2,04,54,830.38905151
5424727,1,4,1,2,1,4,2,1,5,1,,,25000000,300000,,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,1,1,1,2,1,2,2,2,2,,2,,01,2,04,54,652.38440079
5424728,1,3,2,2,1,4,2,1,5,5,,,,200000,,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,1,1,1,2,1,2,2,2,2,,2,,01,2,04,54,550.72419086
5424758,1,4,3,2,1,4,1,5,5,4,,,,100000,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,10,2,,1,1,1,2,1,1,2,2,2,,1,2,01,2,04,70,1229.0660284
5424759,1,5,3,2,1,4,9,1,5,5,,,,50000,,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,4,2,,1,1,1,2,1,1,2,2,2,,1,2,01,2,04,70,560.90546481
5424760,1,3,2,2,1,4,5,1,5,1,,,4000000,40000,,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,5,2,,1,1,5,2,1,1,2,2,2,,1,2,01,2,04,70,819.44676521
5424761,1,3,2,6,,4,9,1,5,5,,,,50000,,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,4,2,,1,1,4,2,1,1,2,2,2,,2,,01,2,04,70,1211.3799359
5424762,1,3,2,2,1,2,9,1,5,1,,,10000000,70000,,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,6,2,,1,1,1,2,1,1,2,2,2,,1,2,01,2,04,70,560.90546481
5424763,1,3,2,6,,4,9,5,5,4,,,,40000,,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,8,2,,1,1,1,1,1,1,2,2,2,,2,,01,2,04,70,1591.9691702
5424764,1,4,2,2,1,4,3,5,5,3,,,,,50000,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,4,2,,1,1,1,2,1,1,2,2,2,,1,2,01,2,04,70,1374.1159932
5424765,1,2,1,2,1,4,1,5,5,4,,,,70000,,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,5,2,,1,1,1,2,1,1,2,2,2,,1,2,01,2,04,70,1683.1849285
5424766,1,2,1,6,,4,1,1,4,5,,,,120000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,,1,1,1,2,1,1,2,2,2,,1,2,01,2,04,70,1189.3142314
5424767,1,2,2,6,,4,1,5,5,4,,,,80000,,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,4,1,1,1,2,2,2,,1,2,01,2,04,70,1511.5169486
5424768,1,4,1,2,1,4,1,5,5,4,,,,50000,,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,1,1,4,1,1,1,2,2,2,,1,2,01,2,04,70,990.94247498
5424769,1,4,3,2,1,4,1,1,4,5,,,,100000,,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,5,2,,1,1,1,2,1,1,2,2,2,,1,2,01,2,04,70,975.17699258
5424770,1,4,1,2,1,4,1,5,5,4,,,,40000,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,,1,1,4,1,1,1,2,2,2,,1,2,01,2,04,70,650.57811427
5424771,1,2,1,6,,4,1,5,5,4,,,,50000,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,4,2,,1,1,5,1,1,1,2,2,2,,1,2,01,2,04,70,945.50487782
5424772,1,3,2,2,1,4,1,5,5,5,,,,60000,,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,3,2,,1,1,4,2,1,1,2,2,2,,1,2,01,2,04,70,1366.7728602
5424773,1,4,2,2,1,4,1,5,5,4,,,,70000,,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,3,2,,1,1,1,1,1,1,2,2,2,,1,2,01,2,04,70,823.92040809
5424774,1,1,1,6,,4,1,5,5,4,,,,40000,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,4,1,1,1,2,2,2,,1,2,01,2,04,70,957.22762298
5424775,1,2,1,6,,4,2,1,5,1,,,99,150000,,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,,1,1,1,2,1,2,2,2,2,,1,2,01,2,04,15,1948.7256652
5424776,1,4,3,2,1,1,1,1,3,1,,,40000000,200000,,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,4,5,2,,1,1,1,4,1,2,1,2,1,1,1,2,01,2,04,15,1401.9315769
5424777,1,3,2,2,1,1,2,1,3,1,,,99,300000,,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,1,4,4,2,,1,1,1,2,1,2,1,2,1,1,1,1,01,2,04,15,1460.7152062
5424778,1,4,3,2,1,1,1,1,3,4,,,,400000,,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,3,4,2,,1,1,1,2,1,2,1,2,1,1,1,1,01,2,04,15,905.1447517
5424779,1,4,1,2,1,1,1,1,4,1,,,35000000,200000,,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,,1,1,1,4,1,2,2,2,1,1,1,2,01,2,04,15,1948.7256652
5424780,1,3,2,2,1,4,2,1,4,3,,,,,280000,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,,1,1,1,2,1,2,2,1,1,1,1,1,01,2,04,15,1574.2422583
5424781,1,4,3,2,1,1,1,1,3,4,,,,300000,,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,4,2,,1,1,1,4,1,2,1,2,1,1,1,2,01,2,04,15,1447.9579443
5424782,1,4,3,2,1,1,1,1,3,4,,,,300000,,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,6,2,,1,1,1,4,1,2,1,2,1,1,1,2,01,2,04,15,1355.9052095
