DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5424851,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,1054.6580123
5424851,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,17,1054.6580123
5424852,1,2,1,80,2,1,7,,1,,1,1,,2,,2,,1,48,900000,2,1,04,1.4,17,466.18746955
5427413,1,2,1,80,2,1,8,,1,,1,9,,2,,2,,1,28,600000,2,1,04,1.2,68,2047.2564226
5427414,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,68,782.65437027
5427414,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,68,782.65437027
5427418,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,68,2073.2667276
5427616,1,4,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,68,782.65437027
5427617,1,2,1,80,2,1,8,,2,,,1,,2,,2,,1,40,600000,2,1,04,3,68,1143.2606105
5427620,1,1,1,80,2,1,3,,2,,,9,,3,,2,,,,,3,1,04,4,68,1927.7801702
5427621,1,1,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,722.21956483
5427621,1,4,1,80,2,1,4,,2,,,4,,2,,2,,2,,600000,2,1,04,2,70,722.21956483
5427621,1,5,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,722.21956483
5427623,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1478.8810759
5427624,1,5,1,80,2,2,,,,1,1,1,,2,,2,,1,25,450000,2,1,04,,70,774.31547264
5427625,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,835.54955075
5427625,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,835.54955075
5427626,1,1,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,70,718.081416
5427626,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,718.081416
5427627,1,1,1,80,2,1,8,,2,,,1,,2,,2,,1,30,300000,2,1,04,4,70,726.23999862
5427627,1,3,1,80,2,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,70,726.23999862
5427628,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,1463.4214698
5427628,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,1463.4214698
5427630,1,1,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,70,560.90546481
5427630,1,2,1,80,2,1,4,,2,,,1,,2,,2,,1,40,500000,2,1,04,3,70,560.90546481
5427631,1,2,1,80,2,1,4,,2,,,9,,2,,2,,,,,2,1,04,4,70,906.8633111
5427631,1,3,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,906.8633111
5427631,1,7,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,906.8633111
5427631,1,8,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,906.8633111
5427632,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,70,1950.2861613
5427632,1,4,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1950.2861613
5427632,1,5,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,1950.2861613
5427632,1,8,1,80,2,1,3,,2,,,1,,2,,2,,2,,350000,2,1,04,2,70,1950.2861613
5427633,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1080.6050838
5427633,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,1080.6050838
5427635,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,718.081416
5427636,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,70,1043.0600209
5427636,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,70,1043.0600209
5427660,1,1,1,80,2,1,7,,2,,,9,,2,,1,300000,2,,500000,2,1,04,1.1,54,811.43225304
5427660,1,2,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,54,811.43225304
5427660,1,6,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,54,811.43225304
5427660,2,2,2,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,811.43225304
5427660,2,3,2,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,54,811.43225304
5427661,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,54,1621.5550523
5427661,1,6,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,54,1621.5550523
5427662,1,1,1,80,2,1,4,,2,,,9,,2,,2,,,,,2,1,04,4,54,558.99335152
5427662,1,4,1,80,2,1,9,CUARENTENA NACIONAL,2,,,9,,2,,2,,,,,2,1,04,2,54,558.99335152
5427662,1,5,1,80,2,1,3,,2,,,8,,2,,2,,,,,2,1,04,4,54,558.99335152
5427663,1,2,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,558.99335152
5427663,1,3,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,558.99335152
5427663,1,4,1,80,2,2,,,,2,,,.,,,2,,,,,,1,04,,54,558.99335152
5427665,1,2,1,80,2,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,54,827.81224712
5427675,1,5,1,80,2,2,,,,2,,,.,2,,2,,,,,2,1,04,,15,905.1447517
