DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5418447,1,1,1,80,17,1,3,,1,,1,8,,2,,2,,,,908526,2,1,04,4,17,120.97626286
5418447,1,4,1,80,17,2,,,,2,,,.,,,2,,,,,,1,04,,17,120.97626286
5418448,1,3,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,125.58347601
5418450,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,176.67797269
5418450,1,3,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,176.67797269
5418455,1,5,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,349.46041644
5418456,1,1,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,364.04832647
5418456,1,4,1,80,17,2,,,,2,,,.,,,2,,,,,,1,04,,17,364.04832647
5418459,1,2,1,80,17,1,3,,2,,,9,,2,,2,,,,,2,1,04,2,17,261.28477277
5418460,1,2,1,80,17,1,1,,2,,,9,,2,,2,,,,,2,1,04,3,17,265.90454351
5418460,1,3,1,80,17,2,,,,2,,,.,,,2,,,,,,1,04,,17,265.90454351
5418461,1,2,1,80,17,2,,,,2,,,.,2,,2,,,,,2,1,04,,17,358.97577099
5418462,1,2,1,80,17,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,17,111.28393663
5418463,1,2,1,80,17,1,2,,2,,,2,,2,,2,,,,,2,1,04,2,17,254.86908089
5418463,1,3,1,80,17,2,,,,2,,,.,,,2,,,,,,1,04,,17,254.86908089
5418509,1,1,1,80,23,1,1,,2,,,8,,2,,2,,,,,2,1,04,4,23,149.77743859
5418509,1,3,1,80,23,2,,,,2,,,.,,,2,,,,,,1,04,,23,149.77743859
5418509,1,5,1,80,23,1,1,,2,,,9,,2,,2,,,,,2,1,04,3,23,149.77743859
5418510,1,1,1,80,23,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,23,159.45755935
5418511,1,2,1,80,23,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,23,176.70557464
5418512,1,1,1,80,23,1,4,,1,,1,1,,3,,2,,1,40,1500000,3,1,04,3,23,185.24315949
5418513,1,3,1,80,23,2,,,,2,,,.,2,,2,,,,,2,1,04,,23,159.90900895
5418513,1,8,1,80,23,2,,,,2,,,.,2,,2,,,,,2,1,04,,23,159.90900895
5418513,1,9,1,80,23,2,,,,2,,,.,,,2,,,,,,1,04,,23,159.90900895
5418513,1,11,1,80,23,2,,,,2,,,.,2,,2,,,,,2,1,04,,23,159.90900895
5418561,1,2,1,80,50,1,9,POR LA PANDEMIA,2,,,9,,2,,2,,,,,2,1,04,2,50,359.12312698
5418562,1,1,1,80,50,1,9,POR LA PANDEMIA,2,,,9,,2,,2,,,,,2,1,04,2,50,311.81494341
5418562,1,4,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,04,,50,311.81494341
5418563,1,2,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,04,,50,280.18189908
5418563,1,4,1,80,50,1,2,,2,,,2,,2,,2,,,,,2,1,04,1.2,50,280.18189908
5418564,1,1,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,50,202.44430574
5418565,1,1,1,80,50,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,50,289.02490269
5418565,1,4,1,80,50,2,,,,2,,,.,,,2,,,,,,1,04,,50,289.02490269
5418566,1,1,1,80,50,1,4,,2,,,4,,2,,2,,2,,800000,2,1,04,2,50,260.72935327
5418567,1,2,1,80,50,1,3,,2,,,11,,2,,2,,,,,2,1,04,2,50,328.88164191
