DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6410S1,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,MES,P6430,RAMA4D_R4,INGLABO,DPTO,fex_c_2011,RAMA4DP8_R4
5423749,1,1,1,60,2,18,2,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,7200000,1,,12,2,,,,,3,3,2,21,2,,21,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,1,1,2,1,1,2,2,2,2,2,2,,2,1,1,1,1,2,2,1,3,,41,96,1,04,4,9609,600000,18,644.59662378,
5423749,1,2,1,60,2,18,1,1,,,1,,,2,2,2,2,1,,1,,2,250000,2,,,1,50000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,2,2,,7,,2,,,,1,,,,,,,,,1,2,2,1,0,22,1,,2,,,,,,,,3,3,5,,2,,,,1,1,2,2,1,2,2,2,1,1,2,,2,1,1,1,2,2,2,2,9,,93,41,1,04,1,4111,300000,18,644.59662378,
5423755,1,2,1,60,2,18,1,2,1,,1,,,1,1,1,1,36,,2,,2,908526,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,9,7,,1,,1,1,1,6,1,1,,,,,,,,,1,1,1,0,3,1,,2,,,,,,,,1,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,8,,97,94,1,04,1,9499,908526,18,491.10314124,
5423756,1,1,1,60,2,18,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,60000,1,500000,1,,10,2,,,,,3,5,2,21,2,,21,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,24,1,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,8,,80,95,1,04,4,9523,60000,18,307.08857791,
5423759,1,1,1,60,2,18,2,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,200000,1,1600000,1,,8,2,,,,,3,10,2,25,2,,25,,,1,5,,11,,2,,,,1,,,,,,,,,1,2,2,1,3,12,4,,2,,,,,,,,11,3,5,,2,,,,1,1,2,1,2,2,2,2,2,1,2,,1,1,1,1,2,2,1,1,8,,45,56,1,04,4,5619,200000,18,225.39367341,
5423759,1,2,1,60,2,18,1,1,,,1,,,1,2,2,2,1,,1,,2,625000,2,,,1,160000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,40,,.,40,,,2,2,,11,,2,,,,1,,,,,,,,,1,2,2,1,0,12,4,,2,,,,,,,,1,1,180,,2,,,,1,1,2,1,1,2,2,2,2,2,2,,2,1,2,2,2,2,2,2,5,,95,41,1,04,1,4111,785000,18,225.39367341,
5423760,1,1,1,60,2,18,1,1,,,1,,,2,2,2,2,6,,1,,2,400000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,10,,,,,,,,,40,,.,40,,,3,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,2,1,,2,,,,,,,,3,3,4,,2,,,,1,1,2,1,2,2,2,2,1,1,2,,2,1,1,2,2,2,2,1,3,,93,50,1,04,1,5021,400000,18,412.73420905,
5423760,1,2,1,60,2,18,1,1,,,1,,,1,2,2,2,6,,1,,2,200000,2,,,1,100000,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,6,,,,,,,,,30,2,,30,,,2,2,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,13,10,,2,,,,1,1,2,1,2,2,2,2,2,2,2,,2,1,1,2,1,2,2,1,3,,54,97,1,04,3,9700,300000,18,412.73420905,
5423761,1,1,1,60,2,18,2,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,1200000,1,10800000,1,,10,2,,,,,2,3,2,40,,.,0,7,VIAJANDO,1,2,,1,,1,2,2,5,1,,1,,,,,,,,2,2,2,,,,,2,,,,,,,,,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,03,95,1,04,4,9522,1200000,18,161.14915595,
5423762,1,1,1,60,2,18,2,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,700000,1,7200000,1,,10,2,,,,,2,3,2,40,,.,40,,,2,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,120,1,,2,,,,,,,,3,3,8,,2,,,,1,1,2,1,2,2,2,2,1,1,2,,2,1,1,1,1,2,2,1,3,,90,95,1,04,4,9529,700000,18,315.51198751,
