DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,AREA,MES,DPTO,fex_c_2011
5428427,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1612.886791
5428427,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1612.886791
5428428,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1510.469589
5428428,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1510.469589
5428428,1,3,1,95,2,,,,,,,1,1,14000000,2,,2,,,,,,,,,,,,,,,,,,2,,1,110000,2,,05,04,05,1510.469589
5428429,1,1,1,95,1,2,,1,1200000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,2400000,05,04,05,1223.8393177
5428431,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,122000,2,,05,04,05,1333.2416333
5428431,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1333.2416333
5428431,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1333.2416333
5428431,2,1,2,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1333.2416333
5428432,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,2000000,05,04,05,1578.9231946
5428432,1,2,1,95,2,,,,,,,1,2,,2,,1,160000,,,1,160000,,,,,,,1,INGRESO SOLIDARIO,160000,,,,2,,2,,2,,05,04,05,1578.9231946
5428433,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1172.9035782
5428433,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1172.9035782
5428433,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1172.9035782
5428433,1,4,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,98,2,,05,04,05,1172.9035782
5428433,1,5,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,210000,2,,05,04,05,1172.9035782
5428434,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1217.7279297
5428434,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1217.7279297
5428435,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1327.1417195
5428436,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,200000,2,,05,04,05,1327.1417195
5428437,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1790.1032726
5428437,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1790.1032726
5428437,1,6,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,120000,2,,05,04,05,1790.1032726
5428437,1,7,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1790.1032726
5428437,1,8,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,144000,2,,05,04,05,1790.1032726
5428438,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,138000,2,,05,04,05,1121.7123054
5428438,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1121.7123054
5428438,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,162000,2,,05,04,05,1121.7123054
5428439,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,120000,2,,05,04,05,1223.8393177
5428440,1,1,1,95,1,2,,1,835000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1726000,05,04,05,1223.8393177
5428441,1,1,1,95,1,2,,1,835000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1726000,05,04,05,1223.8393177
5428442,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1372.919943
5428442,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1372.919943
5428443,1,1,1,95,1,2,,1,1276000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1276000,05,04,05,1244.553086
5428443,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1244.553086
5428444,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1327.1417195
5428447,1,1,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,,,1,FONDO DE SOLIDARIDAD,1920000,,,,2,,2,,2,,05,04,05,1332.3776062
5428448,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,142800,2,,05,04,05,1238.441698
5428448,1,2,1,95,1,2,,1,835844,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,877803,05,04,05,1238.441698
5428448,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1238.441698
5428449,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1249.7889726
5428449,1,2,1,95,2,,,,,,,1,2,,1,6000000,2,,,,,,,,,,,,,,,,,,2,,2,,2,,05,04,05,1249.7889726
5428450,1,1,1,95,2,,,,,,,1,1,500000,2,,1,1920000,,,1,1920000,,,,,,,1,INGRESO SOLIDARIO,1920000,,,,2,,2,,2,,05,04,05,1223.8393177
5428451,1,1,1,95,1,2,,1,890000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,890000,05,04,05,1249.7889726
5428451,1,2,1,95,1,2,,1,1250000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,2500000,05,04,05,1249.7889726
5428452,1,1,1,95,1,2,,1,835844,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,1755606,05,04,05,1261.6035997
5428452,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1261.6035997
5428452,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1261.6035997
5428453,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,3000000,05,04,05,1338.9563465
5428453,1,2,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,70000,2,,05,04,05,1338.9563465
5428454,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1612.886791
5428454,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1612.886791
5428455,1,1,1,95,2,,,,,,,1,1,3600000,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,05,04,05,1209.5368255
5428455,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1209.5368255
5428456,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1621.7859323
5428456,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1621.7859323
5428457,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1316.2809645
5428457,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1316.2809645
5428457,1,3,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,216000,2,,05,04,05,1316.2809645
5428457,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1316.2809645
5428460,1,1,1,95,2,,,,,,,1,2,,2,,1,1920000,,,1,1920000,,,,,1,1920000,,,,,,,2,,2,,2,,05,04,05,1223.8393177
5428461,1,1,1,95,1,2,,1,1900000,2,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,4000000,05,04,05,1223.8393177
5428462,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,288000,2,,05,04,05,1216.1155659
5428462,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1216.1155659
5428462,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1216.1155659
5428464,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1338.9563465
5428464,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1338.9563465
5428465,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1327.1417195
5428466,1,1,1,95,1,2,,1,98,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1249.7889726
5428466,1,2,1,95,1,2,,1,1900000,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,04,05,1249.7889726
5428468,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,1,456000,2,,05,04,05,1327.1417195
5428470,1,1,1,95,1,1,1200000,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,04,11,2659.0812797
5428470,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,04,11,2659.0812797
5428470,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,04,11,2659.0812797
5428472,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,474.82858363
5428472,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,474.82858363
5428473,1,1,1,95,1,2,,1,2000000,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,406.80331039
5428473,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,406.80331039
5428473,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,406.80331039
5428473,1,4,1,95,2,,,,,,,1,1,1200000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,406.80331039
5428474,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,455.35204379
5428474,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,455.35204379
5428474,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,455.35204379
5428475,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,534.99991699
5428475,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,534.99991699
5428475,1,3,1,95,2,,,,,,,1,1,98,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,534.99991699
5428475,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,534.99991699
5428475,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,534.99991699
5428476,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,326.92933398
5428476,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,326.92933398
5428476,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,326.92933398
5428477,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,427.97707531
5428477,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,427.97707531
5428477,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,427.97707531
5428477,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,427.97707531
5428478,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,338.59082072
5428478,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,338.59082072
5428478,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,338.59082072
5428478,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,338.59082072
5428479,1,1,1,95,2,,,,,,,1,2,,2,,1,380000,,,1,380000,,,1,380000,,,,,,,,,2,,2,,2,,13,04,13,421.10151028
5428479,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,421.10151028
5428479,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,421.10151028
5428480,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,474.82858363
5428480,1,2,1,95,1,2,,1,98,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,474.82858363
5428481,1,1,1,95,2,,,,,,,1,2,,2,,2,,,,,,,,,,,,,,,,,,2,,2,,1,98,13,04,13,449.20524718
5428481,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,449.20524718
5428481,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,449.20524718
5428482,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,451.92980636
5428482,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,451.92980636
5428482,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,451.92980636
5428482,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,451.92980636
5428483,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,411.74828287
5428483,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,411.74828287
5428483,1,3,1,95,2,,,,,,,1,1,3600000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,411.74828287
5428484,1,1,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,1,960000,,,,,,,2,,2,,2,,13,04,13,410.13506347
5428484,1,2,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,1,960000,,,,,,,2,,2,,2,,13,04,13,410.13506347
5428484,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,410.13506347
5428484,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,410.13506347
5428484,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,410.13506347
5428484,1,6,1,95,2,,,,,,,1,1,98,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,410.13506347
5428484,1,7,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,410.13506347
5428484,1,8,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,410.13506347
5428485,1,1,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,1,960000,,,,,,,2,,2,,2,,13,04,13,473.49394885
5428485,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,473.49394885
5428485,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,473.49394885
5428485,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,473.49394885
5428486,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5428486,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5428486,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5428486,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5428487,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,425.40040209
5428487,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,425.40040209
5428488,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,405.99663295
5428488,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,405.99663295
5428488,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,405.99663295
5428488,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,405.99663295
5428489,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,456.32293027
5428489,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,456.32293027
5428489,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,456.32293027
5428489,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,456.32293027
5428490,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,461.17646441
5428490,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,461.17646441
5428490,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,461.17646441
5428491,1,1,1,95,2,,,,,,,1,1,3600000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,366.20274898
5428492,1,1,1,95,2,,,,,,,1,2,,2,,1,1500000,,,1,1500000,1,1500000,,,,,,,,,,,2,,2,,2,,13,04,13,422.43888312
5428492,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,422.43888312
5428492,1,4,1,95,2,,,,,,,1,2,,2,,1,1600000,,,1,1600000,,,1,1600000,,,,,,,,,2,,2,,2,,13,04,13,422.43888312
5428493,1,1,1,95,2,,,,,,,1,1,98,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,411.08712689
5428494,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,382.67365949
5428494,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,382.67365949
5428495,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,404.41714205
5428495,1,2,1,95,1,2,,1,908000,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,404.41714205
5428495,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,404.41714205
5428495,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,404.41714205
5428496,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,422.43888312
5428496,1,2,1,95,2,,,,,,,1,1,1000000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,422.43888312
5428496,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,422.43888312
5428497,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,474.82858363
5428497,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,474.82858363
5428498,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,563.97787843
5428498,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,563.97787843
5428498,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,563.97787843
5428498,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,563.97787843
5428499,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,537.7224355
5428499,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,537.7224355
5428499,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,537.7224355
5428499,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,537.7224355
5428499,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,537.7224355
5428499,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,537.7224355
5428500,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,410.77739638
5428500,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,410.77739638
5428501,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,367.59267338
5428501,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,367.59267338
5428501,1,3,1,95,2,,,,,,,1,2,,2,,1,640000,,,1,640000,1,640000,,,,,,,,,,,2,,2,,2,,13,04,13,367.59267338
5428501,1,6,1,95,2,,,,,,,1,1,98,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,367.59267338
5428502,1,1,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,,,1,INGRESO SOLIDARIO,960000,,,,2,,2,,2,,13,04,13,456.32293027
5428502,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,456.32293027
5428502,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,456.32293027
5428502,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,456.32293027
5428503,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,444.42448375
5428503,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,444.42448375
5428503,1,3,1,95,2,,,,,,,1,2,,2,,1,840000,,,1,840000,1,840000,,,,,,,,,,,2,,2,,2,,13,04,13,444.42448375
5428503,1,4,1,95,2,,,,,,,1,2,,2,,1,840000,,,1,840000,1,840000,,,,,,,,,,,2,,2,,2,,13,04,13,444.42448375
5428503,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,444.42448375
5428504,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5428504,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5428504,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,432.76299701
5428504,1,4,1,95,2,,,,,,,1,2,,2,,1,840000,,,1,840000,1,840000,,,,,,,,,,,2,,2,,2,,13,04,13,432.76299701
5428505,1,1,1,95,2,,,,,,,1,1,6000000,2,,1,1680000,,,1,1680000,,,,,1,1680000,,,,,,,2,,2,,2,,13,04,13,411.08712689
5428506,1,1,1,95,2,,,,,,,1,2,,2,,1,1680000,,,1,1680000,,,,,1,1680000,,,,,,,2,,2,,2,,13,04,13,474.82858363
5428506,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,474.82858363
5428507,1,1,1,95,1,2,,1,98,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,356.17813916
5428507,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,356.17813916
5428507,1,3,1,95,1,2,,1,908500,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,356.17813916
5428507,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,356.17813916
5428508,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,388.18834961
5428508,1,2,1,95,2,,,,,,,1,1,3600000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,13,04,13,388.18834961
5428508,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,388.18834961
5428510,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,459.52936107
5428510,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,459.52936107
5428510,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,459.52936107
5428510,1,4,1,95,2,,,,,,,1,2,,2,,1,438901,,,1,438901,,,1,438901,,,,,,,,,2,,2,,2,,13,04,13,459.52936107
5428511,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,325.28223064
5428511,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,325.28223064
5428511,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,325.28223064
5428511,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,04,13,325.28223064
