DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5392936,1,4,1,70,52,1,52,48,1,,2,156,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,47,11,41,1,2,03,4773,52,106.43194298
5392939,1,3,1,70,52,1,20,48,1,,2,20,1,,2,2,1,,,,,,,,,,,1,2,,500000,2,,41,95,95,1,2,03,4111,52,176.78507997
5392939,1,4,1,70,52,1,12,48,1,,2,12,1,,4,2,1,,,,,,,,,,,1,2,,600000,2,,47,45,45,1,1,03,4771,52,176.78507997
5392941,1,3,1,70,52,1,12,48,1,,2,28,1,,4,2,7,,,,,,,,,,,1,2,,500000,2,,41,45,95,1,1,03,4111,52,200.94882863
5392946,1,2,1,70,52,1,48,40,3,,2,48,1,,3,2,1,,,,,,,,,,,1,2,,500000,2,,56,54,99,1,2,03,5611,52,189.79942548
5392946,1,3,1,70,52,1,8,20,1,,2,58,1,,4,2,2,,,,,,,,,,,1,2,,800000,2,,84,45,39,1,1,03,8412,52,189.79942548
5392950,1,3,1,70,52,1,1,48,1,,2,1,1,,2,2,1,,,,,,,,,,,1,1,460000,900000,2,,47,81,97,1,1,03,4721,52,287.61705661
5392951,1,3,1,70,52,1,12,48,2,,2,24,2,,9,2,1,,,,,,,,,,,1,2,,2500000,2,,84,06,06,1,1,03,8413,52,113.12461751
5392956,1,3,1,70,52,1,14,40,1,,2,8,1,,2,2,1,,,,,,,,,,,1,2,,908000,2,,47,45,45,1,2,03,4771,52,227.23766861
5392956,1,5,1,70,52,1,8,40,3,,2,50,3,,1,2,1,,,,,,,,,,,1,2,,400000,2,,97,54,54,1,1,03,9700,52,227.23766861
5392957,1,2,1,70,52,1,52,48,1,,2,52,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,56,45,53,1,2,03,5611,52,310.17405411
5392961,1,1,1,70,52,1,8,48,3,,2,8,3,,1,2,1,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,1,03,9700,52,277.38230588
5392961,1,3,1,70,52,1,4,28,1,,2,5,1,,2,2,1,,,,,,,,,,,1,2,,400000,2,,56,53,53,1,1,03,5611,52,277.38230588
5392981,1,1,1,70,52,1,110,48,3,,2,110,3,,1,2,1,,,,,,,,,,,1,1,90000,500000,2,,97,54,59,1,2,03,9700,52,298.40684699
5392987,1,3,1,70,52,1,25,48,1,,2,25,1,,3,2,1,,,,,,,,,,,1,1,200000,908526,2,,46,45,45,1,2,03,4631,52,241.30349989
5392994,1,4,1,70,52,1,24,60,4,,2,24,5,,6,2,1,,,,,,,,,,,1,1,300000,980000,2,,25,41,83,1,2,03,2511,52,181.36583102
5392997,1,2,1,70,52,1,52,48,1,,2,52,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,47,33,33,1,2,03,4761,52,185.39482241
5393002,1,1,1,70,52,1,40,48,1,,2,40,4,,9,2,1,,,,,,,,,,,1,2,,2000000,2,,84,12,12,1,2,03,8412,52,230.95958542
5393008,1,3,1,70,52,1,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,45,,1,1,03,.,52,599.39873866
5393019,1,1,1,70,54,1,12,48,1,,2,12,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,47,58,45,1,1,03,4711,54,478.2582227
5393019,1,2,1,70,54,1,12,48,1,,2,12,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,61,45,44,1,1,03,6120,54,478.2582227
5393022,1,3,1,70,54,1,8,48,1,,2,16,4,,1,2,2,,,,,,,,,,,1,2,,900000,2,,64,97,49,1,1,03,6499,54,465.4933698
5393024,1,2,1,70,54,1,12,48,4,,2,12,4,,1,2,1,,,,,,,,,,,1,2,,908000,2,,53,97,97,1,1,03,5320,54,429.46160182
5393051,1,2,1,70,68,1,24,24,1,,2,260,1,,4,2,2,,,,,,,,,,,1,2,,1014000,2,,47,19,39,1,2,03,4774,68,640.8304501
5393066,1,1,1,70,73,1,16,48,1,,2,16,4,,1,2,7,,,,,,,,,,,1,2,,908100,2,,53,37,97,1,2,03,5320,73,313.21782826
5393074,1,3,1,70,76,1,8,48,1,,2,52,4,,1,2,5,,,,,,,,,,,1,1,200000,1000000,2,,74,16,16,1,1,03,7410,76,644.16377553
5393079,1,2,1,70,76,1,52,48,4,,2,52,1,,2,2,1,,,,,,,,,,,1,2,,908526,2,,56,53,53,1,2,03,5619,76,1301.7376027
5393079,1,3,1,70,76,1,52,48,4,,2,52,4,,3,2,1,,,,,,,,,,,1,2,,900000,2,,96,57,57,1,2,03,9602,76,1301.7376027
5393079,1,4,1,70,76,1,8,48,1,,2,9,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,14,98,79,1,1,03,1410,76,1301.7376027
5393079,1,5,1,70,76,1,52,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,39,,1,2,03,.,76,1301.7376027
5393091,1,1,1,70,76,1,27,72,1,,2,27,4,,1,2,1,,,,,,,,,,,1,2,,1040000,2,,49,98,98,1,2,03,4921,76,1067.2958803
5393092,1,1,1,70,76,1,9,48,1,,2,52,4,,1,2,2,,,,,,,,,1,RECIBE AYUDAS EN DINERO,,2,,908526,2,,13,55,79,1,1,03,1313,76,1051.5755273
5393104,1,2,1,70,76,1,12,30,4,,2,14,5,,2,2,1,,,,,,,,,,,1,2,,600000,2,,56,53,53,1,1,03,5619,76,1084.7341732
