DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5392683,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,88.53050756
5392685,1,3,1,80,15,1,2,,,,2,,,.,,,2,,,,,,1,03,,15,127.42331226
5392687,1,3,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,117.73985688
5392689,1,2,1,80,15,1,1,7,,2,,,12,PANDEMIA COVID 19,2,,2,,1,30,600000,2,1,03,1.4,15,83.007380338
5392690,1,1,1,80,15,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,4,15,117.13445201
5392690,1,2,1,80,15,1,1,3,,2,,,1,,2,,2,,,,,2,1,03,4,15,117.13445201
5392691,1,1,1,80,15,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,2,15,79.423889479
5392691,1,2,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,79.423889479
5392691,1,3,1,80,15,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,15,79.423889479
5392694,1,2,1,80,15,1,1,7,,2,,,12,PANDEMIA COVID 19,2,,2,,1,40,908600,2,1,03,2,15,100.3486147
5392695,1,2,1,80,17,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,17,248.98908872
5392696,1,2,1,80,17,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,17,173.61928022
5392696,1,4,1,80,17,1,1,4,,2,,,8,,2,,2,,,,,2,1,03,4,17,173.61928022
5392697,1,2,1,80,17,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,4,17,262.17950212
5392697,1,3,1,80,17,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,17,262.17950212
5392698,1,1,1,80,17,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,17,187.41883024
5392698,1,2,1,80,17,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,17,187.41883024
5392699,1,2,1,80,17,1,2,,,,2,,,.,2,,2,,2,,908526,2,1,03,,17,250.58808716
5392700,1,1,1,80,17,1,1,3,,2,,,12,RRCIBE PENSION POR SUSTITUCION Y NO NECESITA TRABAJAR,3,,2,,,,,3,1,03,4,17,199.49431725
5392701,1,1,1,80,17,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,4,17,230.83690968
5392702,1,1,1,80,17,1,1,8,,1,,1,9,,2,,2,,1,48,908526,2,1,03,1.2,17,243.32063007
5392703,1,2,1,80,17,1,1,8,,1,,3,9,,2,,2,,1,24,500000,2,1,03,3,17,322.87517606
5392705,1,1,1,80,17,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,17,236.86395226
5392708,1,2,1,80,17,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,17,159.89514532
5392710,1,1,1,80,18,1,1,4,,2,,,4,,2,,1,980000,,,,2,1,03,1.1,18,148.68689134
5392710,1,3,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,148.68689134
5392710,1,4,1,80,18,1,2,,,,2,,,.,,,2,,,,,,1,03,,18,148.68689134
5392710,1,5,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,148.68689134
5392711,1,2,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,102.53198937
5392711,1,3,1,80,18,1,2,,,,2,,,.,,,2,,,,,,1,03,,18,102.53198937
5392714,1,1,1,80,18,1,1,7,,2,,,1,,2,,2,,,,,2,1,03,1.4,18,85.563661183
5392714,1,2,1,80,18,1,2,,,,2,,,.,,,2,,,,,,1,03,,18,85.563661183
5392716,1,1,1,80,18,1,1,8,,2,,,9,,2,,2,,,,,2,1,03,4,18,130.5662576
5392716,1,3,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,130.5662576
5392717,1,1,1,80,18,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,18,108.48431978
5392718,1,1,1,80,18,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,18,49.481409721
5392721,1,3,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,49.481409721
5392721,1,4,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,49.481409721
5392723,1,1,1,80,18,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,4,18,67.962721998
5392724,1,1,1,80,18,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,18,76.953936621
5392724,1,2,1,80,18,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,3,18,76.953936621
5392726,1,3,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,49.481409721
5392727,1,2,1,80,18,1,1,7,,2,,,1,,2,,2,,,,,2,1,03,1.4,18,117.64444503
5392727,1,3,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,117.64444503
5392729,1,1,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,67.962721998
5392730,1,3,1,80,18,1,2,,,,2,,,.,,,2,,,,,,1,03,,18,86.689416147
5392730,1,4,1,80,18,1,2,,,,2,,,.,,,2,,,,,,1,03,,18,86.689416147
5392731,1,2,1,80,18,1,2,,,,2,,,.,2,,2,,1,20,400000,2,1,03,,18,81.967993043
5392732,1,3,1,80,18,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,3,18,94.554875807
5392733,1,2,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,75.395904525
5392736,1,1,1,80,18,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,3,18,49.481409721
5392736,1,3,1,80,18,1,2,,,,2,,,.,,,2,,,,,,1,03,,18,49.481409721
5392736,1,5,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,49.481409721
5392739,1,2,1,80,18,1,1,4,,2,,,4,,3,,2,,,,,3,1,03,4,18,76.953936621
5392744,1,1,1,80,18,1,1,4,,2,,,8,,2,,2,,,,,2,1,03,4,18,76.953936621
5392744,1,2,1,80,18,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,18,76.953936621
5392745,1,3,1,80,18,1,2,,,,2,,,.,,,2,,,,,,1,03,,18,65.157879018
5392746,1,1,1,80,19,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,4,19,95.380823764
5392746,1,2,1,80,19,1,2,,,,2,,,.,,,2,,,,,,1,03,,19,95.380823764
5392747,1,1,1,80,19,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,19,95.155971687
5392747,1,2,1,80,19,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,19,95.155971687
5392748,1,1,1,80,19,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,19,76.349549205
5392748,1,2,1,80,19,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,19,76.349549205
5392749,1,1,1,80,19,1,1,1,,2,,,1,,2,,2,,,,,2,1,03,1.3,19,143.35711982
5392750,1,1,1,80,19,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,19,102.11560561
5392751,1,2,1,80,19,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,19,95.155971687
5392752,1,2,1,80,19,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,19,95.589842181
5392752,1,3,1,80,19,1,1,4,,2,,,8,,2,,2,,,,,2,1,03,4,19,95.589842181
5392754,1,2,1,80,19,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,19,125.16829053
5392755,1,2,1,80,19,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,19,116.56836312
5392755,1,3,1,80,19,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,19,116.56836312
5392756,1,1,1,80,19,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,3,19,128.09068043
5392758,1,3,1,80,19,1,2,,,,2,,,.,,,2,,,,,,1,03,,19,145.74204924
5392758,1,5,1,80,19,1,1,1,,2,,,1,,2,,2,,,,,2,1,03,1.2,19,145.74204924
5392758,1,6,1,80,19,1,1,1,,2,,,9,,2,,2,,,,,2,1,03,1.2,19,145.74204924
5392759,1,2,1,80,19,1,2,,,,2,,,.,,,2,,,,,,1,03,,19,116.99842107
5392760,1,1,1,80,19,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,2,19,150.93434693
5392762,1,3,1,80,19,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,19,136.19228003
5392762,1,4,1,80,19,1,1,1,,2,,,1,,2,,2,,,,600000,2,1,03,1.2,19,136.19228003
5392763,1,2,1,80,19,1,1,1,,2,,,2,,2,,2,,,,,2,1,03,1.4,19,114.18724625
5392772,1,1,1,80,27,1,1,8,,2,,,1,,2,,2,,,,,2,1,03,2,27,33.516679033
5392773,1,2,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392774,1,2,1,80,27,1,1,8,,2,,,1,,2,,2,,1,40,900000,2,1,03,4,27,103.17837115
5392775,1,2,1,80,27,1,1,3,,2,,,9,,2,,2,,2,,1500000,2,1,03,2,27,33.516679033
5392778,1,1,1,80,27,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,27,33.516679033
5392780,1,2,1,80,27,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,2,27,33.516679033
5392781,1,2,1,80,27,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,27,33.516679033
5392782,1,1,1,80,27,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,27,33.516679033
5392784,1,1,1,80,27,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,3,27,33.516679033
5392784,1,2,1,80,27,1,1,4,,2,,,4,,2,,2,,,,,2,1,03,3,27,33.516679033
5392784,1,3,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392784,1,4,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392785,1,1,1,80,27,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,27,33.516679033
5392787,1,1,1,80,27,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,27,33.516679033
5392787,1,2,1,80,27,1,1,3,,2,,,1,,2,,2,,,,,2,1,03,3,27,33.516679033
5392787,1,3,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392788,1,1,1,80,27,1,1,8,,2,,,1,,2,,2,,,,,2,1,03,1.3,27,33.516679033
5392788,1,2,1,80,27,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,1.4,27,33.516679033
5392790,1,1,1,80,27,1,1,3,,2,,,4,,2,,2,,,,,2,1,03,4,27,33.516679033
5392790,1,5,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392790,1,7,1,80,27,1,2,,,,2,,,.,,,2,,,,,,1,03,,27,33.516679033
5392791,1,1,1,80,27,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,4,27,33.516679033
5392791,1,2,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392791,1,3,1,80,27,1,1,8,,2,,,1,,2,,2,,,,,2,1,03,1.3,27,33.516679033
5392792,1,2,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,157.52839145
5392793,1,2,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392794,1,1,1,80,27,1,1,4,,2,,,8,,2,,2,,,,,2,1,03,4,27,33.516679033
5392794,1,2,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392795,1,2,1,80,27,1,2,,,,2,,,.,2,,2,,2,,986000,2,1,03,,27,33.516679033
5392796,1,1,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392796,1,2,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392797,1,1,1,80,27,1,1,2,,2,,,2,,2,,2,,2,,980000,2,1,03,3,27,33.516679033
5392797,1,2,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392797,1,3,1,80,27,1,2,,,,2,,,.,,,2,,,,,,1,03,,27,33.516679033
5392798,1,1,1,80,27,1,1,8,,2,,,9,,2,,2,,1,30,900000,2,1,03,3,27,33.516679033
5392799,1,1,1,80,27,1,1,8,,2,,,11,,2,,2,,,,,2,1,03,4,27,33.516679033
5392800,1,3,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392801,1,5,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392802,1,2,1,80,27,1,2,,,,2,,,.,,,2,,,,,,1,03,,27,33.516679033
5392803,1,1,1,80,27,1,1,8,,2,,,1,,2,,2,,1,48,800000,2,1,03,4,27,33.516679033
5392803,1,4,1,80,27,1,2,,,,2,,,.,,,2,,,,,,1,03,,27,33.516679033
5392804,1,1,1,80,27,1,1,3,,2,,,9,,2,,2,,,,,2,1,03,4,27,33.516679033
5392804,1,4,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392805,1,3,1,80,27,1,2,,,,2,,,.,,,2,,,,,,1,03,,27,157.52839145
5392809,1,4,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392809,1,5,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392809,1,6,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392812,1,2,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392813,1,2,1,80,27,1,1,6,,2,,,1,,2,,2,,1,40,900000,2,1,03,3,27,113.78310042
5392813,1,3,1,80,27,1,2,,,,2,,,.,,,2,,,,,,1,03,,27,113.78310042
5392814,1,2,1,80,27,1,2,,,,2,,,.,2,,2,,,,,2,1,03,,27,33.516679033
5392815,1,2,1,80,27,1,2,,,,1,2,1,,2,,2,,2,,900000,2,1,03,,27,33.516679033
5392816,1,1,1,80,27,1,1,5,,2,,,10,,3,,2,,,,,3,1,03,3,27,33.516679033
5392816,1,2,1,80,27,1,1,6,,2,,,1,,2,,2,,1,40,900000,2,1,03,3,27,33.516679033
