DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5410720,1,2,1,70,2,4,48,1,,2,24,1,,2,2,1,,,,,,,,,,,1,2,,600000,2,,56,39,53,1,1,03,5611,41,1192.8292417
5410723,1,3,1,70,2,10,30,2,,1,,,,,,,,.,,,,,,,,.,,,,1200000,,,,13,,1,1,03,.,41,625.76681026
5410724,1,2,1,70,2,259,48,2,,2,17,2,,9,2,1,,,,,,,,,,,1,2,,500000,2,,84,13,13,1,2,03,8413,41,1600.5298207
5410735,1,3,1,70,2,3,48,1,,2,5,8,,3,2,1,,,,,,,,,,,1,1,400000,900000,2,,03,62,60,1,1,03,0322,41,1250.8203802
5410751,1,2,1,70,2,8,48,1,,2,14,4,,1,2,1,,,,,,,,1,,,,2,,900000,2,,01,40,61,1,1,03,0161,41,783.65889681
5410760,1,2,1,70,2,20,48,4,,2,20,4,,1,2,1,,,,,,,,1,,,,2,,98,2,,01,61,61,1,2,03,0161,41,1812.1348077
5410767,1,2,1,70,2,8,40,1,,2,156,1,,3,2,5,,,,,,,,,,,1,2,,998000,2,,56,53,53,1,1,03,5611,41,1192.8292417
5410778,1,4,1,70,2,16,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,45,,1,2,03,.,41,1535.9919529
5410784,1,2,1,70,2,2,48,1,,2,57,1,,3,2,1,,,,,,,,,,,1,2,,300000,2,,56,77,53,1,1,03,5611,41,1228.6586801
5410922,1,3,1,70,2,17,48,2,,2,17,1,,9,2,4,,,,,,,,,,,1,2,,1500000,2,,64,31,21,1,2,03,6499,52,1612.2294056
5410922,1,4,1,70,2,17,48,1,,2,17,1,,9,2,4,,,,,,,,,,,1,2,,1500000,2,,64,33,33,1,2,03,6499,52,1612.2294056
5410980,1,4,1,70,2,4,48,1,,2,8,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,47,99,41,1,1,03,4711,54,715.10768109
5410987,1,1,1,70,2,1,50,4,,2,1,4,,1,2,1,,,,,,,,,,,1,1,600000,600000,2,,01,61,61,1,1,03,0161,54,2931.9414925
5410987,1,3,1,70,2,1,40,4,,2,1,4,,1,2,4,,,,,,,,,,,1,1,500000,400000,2,,01,61,61,1,1,03,0161,54,2931.9414925
5410987,1,7,1,70,2,2,50,4,,2,2,4,,1,2,3,,,,,,,,,,,1,1,600000,600000,2,,01,61,61,1,1,03,0161,54,2931.9414925
5411157,1,2,1,70,2,2,50,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,800000,600000,2,,01,61,61,1,1,03,0161,54,1236.5122584
5411199,1,1,1,70,2,8,40,4,,2,8,4,,9,2,1,,,1,,,,,,,,,2,,1200000,1,1,85,13,13,1,1,03,8544,54,1236.5122584
5411201,1,3,1,70,2,1,48,4,,2,1,4,,1,2,1,,,,,,,,,,,1,1,70000,500000,2,,85,13,13,1,1,03,8559,54,1236.5122584
5411222,1,3,1,70,2,24,48,8,,2,48,1,,9,2,4,,,,,,,,,,,1,2,,908000,2,,41,62,95,1,2,03,4111,05,3088.0403144
5411222,1,4,1,70,2,240,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908000,,,,33,,1,2,03,.,05,3088.0403144
5411223,1,1,1,70,2,12,48,3,,2,12,3,,1,2,2,,,,,,,,,,,1,2,,950000,2,,97,54,54,1,1,03,9700,05,1933.3080415
5411225,1,3,1,70,2,30,48,1,,2,30,4,,1,2,1,,,,,,,,,,,1,2,,1800000,2,,74,05,05,1,2,03,7490,05,2787.0733018
5411225,1,4,1,70,2,40,48,1,,2,50,1,,9,2,1,,,,,,,,,,,1,2,,1800000,2,,01,05,05,1,2,03,0125,05,2787.0733018
5411248,1,2,1,70,2,12,48,4,,2,12,4,,1,2,2,,,,,,,,,,,1,2,,800000,2,,81,55,54,1,1,03,8121,05,3214.4187133
5411250,1,3,1,70,2,1,24,1,,2,1,1,,2,2,1,,,,,,,,,,,1,1,1100000,908000,2,,47,59,59,1,1,03,4759,05,1373.0388214
5411288,1,1,1,70,2,8,48,1,,2,144,8,,4,2,1,,,,,,,,,,,1,2,,908000,2,,01,53,62,1,1,03,0125,05,3406.0093509
5411289,1,3,1,70,2,12,48,3,,2,12,3,,1,2,1,,,,,,,,,,,1,2,,908000,2,,97,54,54,1,1,03,9700,05,1363.715382
5411306,1,2,1,70,2,24,48,8,,2,24,8,,5,2,1,,,,,,,,,,,1,2,,600000,2,,01,62,62,1,2,03,0123,05,3608.9320286
5411309,1,1,1,70,2,12,48,8,,2,12,8,,3,2,1,,,,,,,,,,,1,2,,500000,2,,01,62,62,1,1,03,0123,05,3397.1932133
5411319,1,1,1,70,2,12,48,3,,2,240,3,,1,2,8,,,,,,,,,,,1,2,,908000,2,,97,54,54,1,1,03,9700,05,1933.3080415
5411359,1,2,1,70,2,50,48,1,,2,50,3,,1,2,1,,,,,,,,,,,1,2,,908526,2,,97,97,54,1,2,03,9700,66,1137.485485
5411365,1,1,1,70,2,8,48,1,,2,8,1,,2,2,2,,,,,,,,,,,1,2,,908526,2,,56,50,50,1,1,03,5611,66,1019.2722139
5411366,1,1,1,70,2,16,24,1,,2,60,1,,5,2,2,,,,,,,,,,,1,2,,450000,2,,59,45,39,1,2,03,5920,66,1541.0597652
5411381,1,4,1,70,2,5,48,4,,2,6,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,08,99,99,1,1,03,0811,66,1468.578023
