PERIODO,DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S2,P750S3,P750S1A1,P750S2A1,P1661S1,P1661S2,P1661S3,P1661S4,P1661S1A1,P1661S2A1,P1661S3A1,P1661S4A1,P1661S4A2,P750S3A1,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,AREA,MES,DPTO,P3367,P3368,P3369,P3370,P3370S1,P3371,P3371S1,P3371S2,P3371S3,P3371S4,P3372,P3372S1,FEX_C18,PER,REGIS
20220104,5000042,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1414.9825801,2022,90
20220104,5000043,1,1,1,2,,,,,,,1,1,6000000,2,,1,1506000,,1,,,1506000,1,,,1,1050000,,,DEVOLUCION DEL IVA,456000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,3087.2915736,2022,90
20220104,5000044,1,1,1,2,,,,,,,1,1,1500000,2,,1,456000,,1,,,456000,,,,1,,,,DEVOLUCION DEL IVA,456000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2076.9218745,2022,90
20220104,5000044,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2076.9218745,2022,90
20220104,5000044,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2076.9218745,2022,90
20220104,5000044,1,4,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2076.9218745,2022,90
20220104,5000045,1,1,1,2,,,,,,,1,1,700000,2,,2,,,,,,,,,,,,,,,,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2194.015156,2022,90
20220104,5000045,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2194.015156,2022,90
20220104,5000046,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2618.4791906,2022,90
20220104,5000046,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2618.4791906,2022,90
20220104,5000047,1,1,1,2,,,,,,,1,2,,1,1920000,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,2493.596194,2022,90
20220104,5000048,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2265.4192998,2022,90
20220104,5000048,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,2265.4192998,2022,90
20220104,5000049,1,1,1,2,,,,,,,1,2,,2,,1,1920000,,1,,,1920000,,,,1,,,,INGRESO SOLIDARIO,1920000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,1113.3371378,2022,90
20220104,5000049,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1113.3371378,2022,90
20220104,5000049,1,3,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1113.3371378,2022,90
20220104,5000049,1,5,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1113.3371378,2022,90
20220104,5000049,1,6,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1113.3371378,2022,90
20220104,5000050,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1186.2801353,2022,90
20220104,5000050,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1186.2801353,2022,90
20220104,5000050,1,5,1,2,,,,,,,1,2,,2,,1,1960000,,1,,,1960000,,,,1,,,,INGRESO SOLIDARIO,1960000,,2,,2,,2,,1,,1,13,2,,,2,,2,,,,,2,,1186.2801353,2022,90
20220104,5000050,1,6,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,13,2,,,2,,2,,,,,2,,1186.2801353,2022,90
