PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250518;05;2025;8208062;1;2;1;70;05;1;1062.8498653;05;1;;;;;;;;;1;;4;0;8;1;4;2;2;;2;;.;9321;47;4719
20250518;05;2025;8208063;1;1;1;70;05;1;5305.0025467;05;1;;;;;;;;;1;;72;0;5;1;10;2;3;;2;;.;7223;25;2511
20250518;05;2025;8208063;1;2;1;70;05;1;5305.0025467;05;1;;;;;;;;;1;;480;0;3;1;10;2;2;;2;;.;8160;10;1081
20250518;05;2025;8208067;1;2;1;70;05;1;909.51170423;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208069;1;2;1;70;05;1;967.36790226;05;1;;;;;;;;;1;;12;0;5;1;3;2;3;;2;;.;4120;47;4761
20250518;05;2025;8208071;1;3;1;70;05;1;889.4025246;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208071;1;5;1;70;05;1;889.4025246;05;1;;;;;;;;;1;;36;0;6;7;3;2;2;;2;;.;9212;01;0141
20250518;05;2025;8208073;1;1;1;70;05;1;1343.5665309;05;1;;;;;;;;;1;;48;0;5;2;10;2;3;;2;;.;2423;84;8413
20250518;05;2025;8208073;1;2;1;70;05;1;1343.5665309;05;1;;;;;;;;;1;;24;0;5;1;5;2;3;;2;;.;2611;69;6910
20250518;05;2025;8208074;1;1;1;70;05;1;1268.4547614;05;;1;8;1;;;;24;700000;1;;10;0;6;1;2;2;2;;2;;5131;5223;47;4721
20250518;05;2025;8208075;1;1;1;70;05;1;1275.7581195;05;1;;;;;;;;;1;;60;0;5;1;3;2;3;;2;;.;2433;47;4773
20250518;05;2025;8208077;1;1;1;70;05;1;652.07245022;05;1;;;;;;;;;1;;160;0;5;1;10;2;3;;2;;.;7233;10;1040
20250518;05;2025;8208077;1;2;1;70;05;1;652.07245022;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208078;1;1;1;70;05;1;909.6335248;05;1;;;;;;;;;1;;7;0;3;1;2;2;2;;2;;.;8321;53;5320
20250518;05;2025;8208079;1;1;1;70;05;1;798.63043308;05;1;;;;;;;;;1;;24;0;3;4;1;2;2;;2;;.;9111;81;8121
20250518;05;2025;8208080;1;2;1;70;05;1;839.5942108;05;;1;59;1;;;;45;1423560;1;;60;0;8;1;2;2;2;;2;;5223;5223;47;4711
20250518;05;2025;8208080;1;3;1;70;05;1;839.5942108;05;1;;;;;1;;45;1423560;1;;3;0;1;1;4;2;2;;2;;.;9329;90;9005
20250518;05;2025;8208080;1;4;1;70;05;1;839.5942108;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208084;1;1;1;70;05;1;737.53591125;05;;1;16;1;;;;46;1423500;1;;4;0;7;1;10;2;2;;2;;3322;7422;61;6120
20250518;05;2025;8208086;1;1;1;70;05;1;588.62129615;05;1;;;;;;;;;1;;440;0;3;4;1;2;2;;2;;.;9520;47;4789
20250518;05;2025;8208087;1;1;1;70;05;1;1446.4785796;05;1;;;;;;;;;1;;48;5;5;1;10;2;3;;2;;.;7543;17;1702
20250518;05;2025;8208087;1;2;1;70;05;1;1446.4785796;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208088;1;1;1;70;05;1;737.53591125;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208089;1;1;1;70;05;1;891.13527057;05;1;;;;;;;;;1;;204;0;4;4;1;2;2;;2;;.;9111;81;8121
20250518;05;2025;8208089;1;2;1;70;05;1;891.13527057;05;1;;;;;;;;;1;;120;0;4;4;1;2;2;;2;;.;9313;41;4111
20250518;05;2025;8208089;1;3;1;70;05;1;891.13527057;05;1;;;;;;;;;1;;1;0;8;1;2;2;2;;2;;.;5142;96;9602
20250518;05;2025;8208089;1;4;1;70;05;1;891.13527057;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208090;1;1;1;70;05;1;1295.7045824;05;;1;97;1;;;;48;1623000;1;;48;0;7;4;1;2;2;;2;;5223;5211;47;4721
20250518;05;2025;8208091;1;2;1;70;05;1;1072.1673904;05;1;;;;;;;;;1;;240;5;3;1;6;2;2;;2;;.;9112;86;8699
20250518;05;2025;8208091;1;3;1;70;05;1;1072.1673904;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208092;1;2;1;70;05;1;628.08212197;05;1;;;;;;;;;1;;360;0;3;1;7;2;2;;2;;.;8153;14;1410
20250518;05;2025;8208093;1;1;1;70;05;1;1540.9811186;05;1;;;;;;;;;1;;600;0;3;1;2;2;2;;2;;.;5230;56;5613
20250518;05;2025;8208093;1;2;1;70;05;1;1540.9811186;05;1;;;;;;;;;1;;480;0;5;2;10;2;3;;2;;.;5321;86;8610
20250518;05;2025;8208094;1;3;1;70;05;1;1301.8691733;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208096;1;1;1;70;05;1;481.44742901;05;1;;;;;1;;40;1423000;1;;84;0;7;4;1;2;2;;2;;.;5223;47;4771
20250518;05;2025;8208096;1;2;1;70;05;1;481.44742901;05;;1;46;1;;;;46;1423000;2;;;;;;;;2;;2;;3422;;;
20250518;05;2025;8208096;1;3;1;70;05;1;481.44742901;05;1;;;;;1;;30;1423000;1;;24;0;8;1;10;2;2;;2;;.;5223;47;4771
20250518;05;2025;8208096;1;4;1;70;05;1;481.44742901;05;1;;;;;;;;;1;;4;0;8;1;2;2;2;;2;;.;4120;86;8621
20250518;05;2025;8208098;1;2;1;70;05;1;1008.3618401;05;1;;;;;;;;;1;;360;0;3;4;1;2;2;;2;;.;9111;81;8121
20250518;05;2025;8208098;1;3;1;70;05;1;1008.3618401;05;;1;20;1;;;;46;1423000;1;;5;0;1;1;3;2;2;;2;;7132;7132;45;4520
20250518;05;2025;8208100;1;2;1;70;05;1;1418.3428505;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208102;1;2;1;70;05;1;1801.1431728;05;;1;6;1;;;;46;2800000;1;;5;2;8;4;10;2;2;;2;;2320;3412;88;8891
20250518;05;2025;8208103;1;1;1;70;05;1;1493.7298491;05;1;;;;;;;;;1;;200;0;5;1;10;2;3;;2;;.;8323;42;4210
20250518;05;2025;8208103;1;2;1;70;05;1;1493.7298491;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208105;1;2;1;70;05;1;1094.078399;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250518;05;2025;8208106;1;2;1;70;05;1;1062.7884514;05;;1;4;1;;;;46;2000000;1;;2;0;8;1;8;2;2;;2;;2431;2431;62;6201
20250518;05;2025;8208107;1;2;1;70;05;1;1488.0848374;05;1;;;;;;;;;1;;3;0;5;1;8;2;3;;2;;.;1212;46;4631
20250518;05;2025;8208107;1;3;1;70;05;1;1488.0848374;05;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
