PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;FFT;PET;P6240;P6240S1;P6240S2;P6250;P6260;P6260S1;P6260S1A1;P6260S2;P6270;P6280;P3362S1;P3362S2;P3362S3;P3362S4;P3362S5;P3362S6;P3362S7;P3362S8;P3362S7A1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351
20250520;05;2025;8208027;1;2;1;50;;1;106.62614965;05;;1;1;6;DESCANSANDO REZANDO;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250520;05;2025;8208027;1;3;1;50;;1;106.62614965;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250520;05;2025;8208028;1;1;1;50;;1;337.21846056;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250520;05;2025;8208029;1;1;1;50;;1;328.3675433;05;;1;1;6;DILIGENCIAS PERSONALES;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250520;05;2025;8208029;1;2;1;50;;1;328.3675433;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250520;05;2025;8208029;1;3;1;50;;1;328.3675433;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250520;05;2025;8208029;1;4;1;50;;1;328.3675433;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250520;05;2025;8208030;1;1;1;50;;1;212.25388431;05;1;;1;4;;;2;2;;;;1;;;;;;;;;;;;;;;;;;
20250520;05;2025;8208030;1;2;1;50;;1;212.25388431;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250520;05;2025;8208031;1;1;1;50;;1;106.62614965;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250520;05;2025;8208031;1;2;1;50;;1;106.62614965;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208033;1;1;1;50;;1;399.84806118;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208033;1;2;1;50;;1;399.84806118;05;1;;1;4;;;2;2;;;;2;1;;1;;;;;;;;;;;;;;;1
20250518;05;2025;8208034;1;1;1;50;;1;211.38471031;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208034;1;2;1;50;;1;211.38471031;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208035;1;1;1;50;;1;383.42690057;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208035;1;2;1;50;;1;383.42690057;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208036;1;1;1;50;;1;99.962015295;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208036;1;2;1;50;;1;99.962015295;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208036;1;3;1;50;;1;99.962015295;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208036;1;4;1;50;;1;99.962015295;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208037;1;1;1;50;;1;99.962015295;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208037;1;2;1;50;;1;99.962015295;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208037;1;3;1;50;;1;99.962015295;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208037;1;4;1;50;;1;99.962015295;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208038;1;1;1;50;;1;364.37223754;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208038;1;2;1;50;;1;364.37223754;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208039;1;1;1;50;;1;307.50223819;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208039;1;2;1;50;;1;307.50223819;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208039;1;3;1;50;;1;307.50223819;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208040;1;1;1;50;;1;215.78427384;05;;1;1;6;DESCANSAR VER TV;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208040;1;2;1;50;;1;215.78427384;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208040;1;3;1;50;;1;215.78427384;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208040;1;4;1;50;;1;215.78427384;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208041;1;1;1;50;;1;99.962015295;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208041;1;2;1;50;;1;99.962015295;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208042;1;1;1;50;;1;265.31735539;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208042;1;2;1;50;;1;265.31735539;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208043;1;1;1;50;;1;265.31735539;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208043;1;2;1;50;;1;265.31735539;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208044;1;1;1;50;;1;371.55907214;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208044;1;2;1;50;;1;371.55907214;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208044;1;3;1;50;;1;371.55907214;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208045;1;1;1;50;;1;273.0925256;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208045;1;3;1;50;;1;273.0925256;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208045;1;4;1;50;;1;273.0925256;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208046;1;1;1;50;;1;343.7873244;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208046;1;2;1;50;;1;343.7873244;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250518;05;2025;8208046;1;3;1;50;;1;343.7873244;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208047;1;1;1;50;;1;265.31735539;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208047;1;2;1;50;;1;265.31735539;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208048;1;1;1;50;;1;385.05321175;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208048;1;2;1;50;;1;385.05321175;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208048;1;3;1;50;;1;385.05321175;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250518;05;2025;8208048;1;4;1;50;;1;385.05321175;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208049;1;1;1;50;;1;298.95945686;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208049;1;2;1;50;;1;298.95945686;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208050;1;1;1;50;;1;273.31416387;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250519;05;2025;8208051;1;1;1;50;;1;234.31966453;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208051;1;2;1;50;;1;234.31966453;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208051;1;3;1;50;;1;234.31966453;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250519;05;2025;8208051;1;4;1;50;;1;234.31966453;05;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250519;05;2025;8208052;1;1;1;50;;1;149.94302294;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208052;1;2;1;50;;1;149.94302294;05;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20250519;05;2025;8208052;1;3;1;50;;1;149.94302294;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208053;1;1;1;50;;1;345.65906001;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208053;1;2;1;50;;1;345.65906001;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208054;1;1;1;50;;1;177.11032551;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208054;1;2;1;50;;1;177.11032551;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208054;1;4;1;50;;1;177.11032551;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208055;1;1;1;50;;1;200.65529382;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20250519;05;2025;8208055;1;2;1;50;;1;200.65529382;05;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
