PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20250522;05;2025;8207977;1;1;1;60;;2;41.733809946;08;1;4721;1;1;;;1;;2;;2;2;2;2;4;1;;1;1;2;2;1;2;900000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;49;;;49;;;3;7;;2;;2;;;;2;2;1;0;3;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;12;;10;3;;1;900000;47;4721;5230
20250522;05;2025;8207978;1;3;1;60;;2;53.391112347;08;1;4752;1;1;;;1;;1;;2;2;2;2;12;1;;1;1;2;2;1;2;150000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;20;2;;20;;;4;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;10;3;;1;150000;47;4752;5223
20250522;05;2025;8207979;1;1;1;60;;2;36.343412705;08;1;5619;2;;;;;;;;;;;;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;240000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;210000;1;1050000;3;;1;1;12;30;1;;30;;;1;1;;2;;2;;;;2;2;1;0;4;4;;1;;2;;;;;;;;1;20;1;1;1;1;1;2;2;2;2;2;2;2;;1;1;2;2;2;2;2;1;14;;;3;;1;210000;56;5619;7514
20250522;05;2025;8207980;1;1;1;60;;2;39.118159374;08;1;4719;2;;;;;;;;;;;;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;1;700000;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;400000;1;5000000;3;;10;1;6;48;;;48;;;1;1;;3;;2;;;;2;2;1;98;36;3;;9;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;3;;1;400000;47;4719;5223
20250522;05;2025;8207981;1;2;1;60;;2;567.53350296;11;1;7210;1;2;2;4;1;;1;;2;2;2;2;80;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;1;3;1;;4200000;;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;4200000;1;40000000;3;;4;2;12;10;1;;10;;;10;1;;1;;1;1;2;14;1;1;1;0;84;1;;1;;2;;;;;;;;1;4;1;1;2;;;;;;;;;;;;;1;1;1;1;2;1;14;;;9;;1;4200000;72;7210;2132
20250522;05;2025;8207982;1;1;1;60;;2;242.71665119;11;1;125;1;2;1;;1;;1;;1;2;1;1;108;1;;1;1;1;1;1;2;1423500;2;;1;200000;2;2;;2;;2;;2;;2;;;1;200000;2;2;;;2;;;2;;;2;;;1;130000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;5;8;;1;;1;1;1;14;1;1;1;0;60;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;1;1;1;13;;10;2;;1;1423500;01;0125;9211
20250522;05;2025;8207984;1;1;1;60;;2;449.21566586;11;1;141;1;2;1;;1;;1;;1;2;1;1;3;7;;1;1;1;1;1;2;2100000;2;;2;;;2;;1;500000;2;;2;;2;;;2;;;1;46000;2;2;;;2;;;2;;;1;1800000;2;;2;;1;350000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;3;8;;1;;1;1;1;5;1;1;1;0;6;1;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;3;5;;1;2600000;01;0141;5164
20250522;05;2025;8207984;1;2;1;60;;2;449.21566586;11;1;141;1;2;1;;1;;1;;1;2;1;1;7;7;;1;1;1;1;1;2;1060000;2;;1;380000;2;2;;2;;2;;2;;2;;;2;;;1;46000;2;2;;;2;;;2;;;1;1300000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;36;2;;30;1;;3;8;;1;;1;1;1;2;1;1;1;2;19;1;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;3;3;;1;1060000;01;0141;9212
20250522;05;2025;8207985;1;1;1;60;;2;186.59799562;63;1;121;1;1;;;1;;2;;2;2;2;2;5;7;;2;2;2;2;1;2;800000;2;;2;;;1;400000;1;300000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;72;;;72;;;2;8;;2;;2;;;;2;2;1;0;21;7;;3;;2;;;;;;;;2;;;;1;2;1;2;2;2;2;2;2;2;;1;1;2;1;2;2;1;2;3;;2;8;;1;1500000;01;0121;9211
20250522;05;2025;8207986;1;1;1;60;;2;98.302826034;63;1;7310;2;;;;;;;;;;;;60;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;1;;8000000;;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;6000000;1;60000000;3;;3;2;12;40;;;40;;;1;1;;3;;2;;;;2;2;1;0;24;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;14;;;2;;1;6000000;73;7310;2431
