PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18;LGB_Numerica;LGB_sectores;LGBT_Numerica;Trans_numerica;Discapacidad;Dificultad;Campesina
20230205;02;2023;7339217;1;2;1;10;47;1;189.92624749;47;1;2;2;26;10;1996;2;2;;2;;1;;2;6;;;2;1;1;;;;;;;;;;;1;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;3;2;1;1;3;1;0;0;0;0
20230205;02;2023;7339217;1;3;1;10;47;1;189.92624749;47;1;2;1;7;10;2015;3;1;2;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;1;1;5;;4;2;1;4;4;3;3;4;2;2;;1;0;;;;;;;;;;;1;1;0
20230205;02;2023;7339217;1;4;1;10;47;1;189.92624749;47;1;2;2;3;11;2019;3;1;2;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;;;;;;;;;;0
20230205;02;2023;7339218;1;1;1;10;47;1;186.71403576;47;1;1;2;60;10;1962;1;3;;3;;2;2;2;6;;;3;1;2;;;;;;;;;;;1;;1;2;2;116000;4;4;4;4;4;4;4;4;1;2;;6;2;;3;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339218;1;2;1;10;47;1;186.71403576;47;1;2;1;59;4;1963;2;3;;3;;2;2;2;6;;;3;1;1;;;;;;;;;;;1;;1;2;5;;4;4;4;4;4;4;4;4;1;2;;8;4;715;5;715;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339219;1;1;1;10;47;1;211.60853642;47;1;1;1;35;3;1987;1;2;;3;;2;2;2;6;;;4;;;;;;;;;;;;;1;;1;1;1;98000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339220;1;1;1;10;47;1;191.57404467;47;1;1;2;34;5;1988;1;2;;3;;2;2;2;6;;;4;;;;;;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;10;232;7;232;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339220;1;2;1;10;47;1;191.57404467;47;1;1;2;5;10;2017;3;1;1;2;;2;2;2;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;3;4;4;4;4;2;1;1;2;0;;;;;;;;;;;0;1;0
20230205;02;2023;7339221;1;1;1;10;47;1;222.81485744;47;1;1;1;38;2;1985;1;2;;2;;2;2;2;6;;;1;1;2;;;;;;;;;;;1;;1;1;1;47000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339221;1;2;1;10;47;1;222.81485744;47;1;2;2;38;4;1984;2;2;;2;;2;2;2;6;;;1;1;1;1;;;;;;;;;;;;1;1;1;47000;4;4;4;4;4;4;4;4;1;2;;8;4;916;5;916;1;2;1;0;;0;0;0;0;0
